# n      x1       x2       g1      g2      eps

0  -1  -1  804  400  8
10000  -0.26959  -0.357239  48.9  85.9835  3.45396
20000  -0.169625  -0.14741  14.2933  35.2365  2.68457
30000  -0.134059  -0.0585227  6.37009  15.2989  2.40656
40000  -0.115967  -0.0198032  3.77441  6.65031  2.28538
50000  -0.104019  -0.0031575  2.78965  2.79549  2.22518
60000  -0.0944787  0.00360603  2.39005  1.06404  2.19068
70000  -0.0859323  0.00593487  2.22172  0.289897  2.16741
80000  -0.0778109  0.00629645  2.14812  -0.0483827  2.14912
90000  -0.0698801  0.00581764  2.11367  -0.186881  2.13304
100000  -0.0620435  0.00501615  2.09516  -0.23335  2.11793
110000  -0.0542626  0.00413085  2.0828  -0.237285  2.10322
120000  -0.0465231  0.00327218  2.07245  -0.221557  2.08868
130000  -0.0388213  0.0024911  2.06238  -0.196802  2.07417
140000  -0.0311577  0.00181081  2.05186  -0.168001  2.05967
150000  -0.0235347  0.00124144  2.04061  -0.137512  2.04514
160000  -0.0159551  0.000786918  2.02852  -0.106471  2.03059
170000  -0.00842209  0.000448135  2.01558  -0.0754406  2.01602
180000  -0.000938895  0.000224449  2.00179  -0.0447135  2.00143
190000  0.00649144  0.000114401  1.9872  -0.0144524  1.98683
200000  0.013866  0.000116054  1.97184  0.0152422  1.97223
210000  0.0211819  0.000227164  1.95575  0.0443018  1.95763
220000  0.0284366  0.000445265  1.93898  0.0726752  1.94305
230000  0.0356277  0.000767722  1.92158  0.100322  1.92848
240000  0.0427528  0.00119176  1.9036  0.127207  1.91394
250000  0.0498099  0.0017145  1.88509  0.153305  1.89944
260000  0.0567972  0.00233296  1.8661  0.178592  1.88497
270000  0.0637129  0.00304408  1.84667  0.203051  1.87055
280000  0.0705555  0.00384475  1.82688  0.226667  1.85619
290000  0.0773238  0.00473181  1.80675  0.249431  1.84189
300000  0.0840165  0.00570208  1.78634  0.271338  1.82765
310000  0.0906328  0.00675237  1.7657  0.292387  1.81349
320000  0.0971718  0.00787946  1.74487  0.312578  1.7994
330000  0.103633  0.00908019  1.7239  0.331918  1.7854
340000  0.110016  0.0103514  1.70282  0.350413  1.77148
350000  0.11632  0.0116899  1.68168  0.368075  1.75765
360000  0.122545  0.0130927  1.66052  0.384918  1.74391
370000  0.128692  0.0145568  1.63937  0.400955  1.73028
380000  0.134759  0.0160791  1.61825  0.416204  1.71674
390000  0.140749  0.0176568  1.59721  0.430684  1.70331
400000  0.14666  0.019287  1.57627  0.444415  1.68999
410000  0.152493  0.020967  1.55545  0.457418  1.67677
420000  0.158249  0.0226942  1.53478  0.469714  1.66367
430000  0.163928  0.0244658  1.51427  0.481327  1.65068
440000  0.169531  0.0262795  1.49396  0.492279  1.63781
450000  0.175059  0.0281328  1.47384  0.502594  1.62505
460000  0.180513  0.0300233  1.45395  0.512295  1.61241
470000  0.185892  0.0319489  1.43429  0.521406  1.59989
480000  0.191199  0.0339074  1.41487  0.529949  1.58749
490000  0.196434  0.0358967  1.39571  0.537949  1.57521
500000  0.201598  0.0379148  1.37681  0.545428  1.56305
510000  0.206693  0.0399598  1.35817  0.552407  1.55101
520000  0.211718  0.04203  1.33982  0.55891  1.5391
530000  0.216675  0.0441235  1.32174  0.564957  1.5273
540000  0.221566  0.0462387  1.30394  0.570569  1.51562
550000  0.226391  0.048374  1.28643  0.575767  1.50406
560000  0.231151  0.050528  1.26921  0.580569  1.49263
570000  0.235848  0.0526991  1.25227  0.584995  1.48131
580000  0.240482  0.0548861  1.23562  0.589063  1.47011
590000  0.245054  0.0570875  1.21926  0.59279  1.45903
600000  0.249566  0.0593023  1.20319  0.596193  1.44806
610000  0.254019  0.0615292  1.1874  0.599289  1.43722
620000  0.258413  0.063767  1.17189  0.602092  1.42648
630000  0.262751  0.0660147  1.15667  0.604619  1.41587
640000  0.267032  0.0682714  1.14172  0.606882  1.40536
650000  0.271257  0.0705361  1.12704  0.608896  1.39497
660000  0.275429  0.0728078  1.11264  0.610673  1.38469
670000  0.279547  0.0750856  1.0985  0.612227  1.37452
680000  0.283614  0.0773689  1.08463  0.613568  1.36446
690000  0.287629  0.0796568  1.07101  0.614708  1.3545
700000  0.291594  0.0819486  1.05765  0.615658  1.34466
710000  0.295509  0.0842436  1.04454  0.616428  1.33492
720000  0.299377  0.0865412  1.03168  0.617027  1.32528
730000  0.303196  0.0888406  1.01906  0.617466  1.31575
740000  0.306969  0.0911414  1.00668  0.617752  1.30632
750000  0.310697  0.0934431  0.994526  0.617895  1.29698
760000  0.314379  0.095745  0.982605  0.617901  1.28775
770000  0.318018  0.0980466  0.970907  0.617779  1.27862
780000  0.321614  0.100348  0.959428  0.617536  1.26958
790000  0.325167  0.102647  0.948165  0.617178  1.26064
800000  0.328678  0.104946  0.937112  0.616712  1.25179
810000  0.332149  0.107242  0.926266  0.616144  1.24304
820000  0.33558  0.109536  0.915621  0.615481  1.23438
830000  0.338971  0.111828  0.905173  0.614726  1.22581
840000  0.342324  0.114116  0.894919  0.613887  1.21733
850000  0.345639  0.116402  0.884853  0.612967  1.20893
860000  0.348917  0.118683  0.874973  0.611971  1.20063
870000  0.352158  0.120961  0.865273  0.610904  1.19241
880000  0.355364  0.123235  0.855749  0.60977  1.18427
890000  0.358534  0.125504  0.846399  0.608573  1.17622
900000  0.36167  0.127769  0.837217  0.607317  1.16825
910000  0.364772  0.130029  0.828201  0.606006  1.16036
920000  0.367841  0.132284  0.819346  0.604642  1.15256
930000  0.370877  0.134534  0.810649  0.60323  1.14483
940000  0.373881  0.136778  0.802106  0.601772  1.13718
950000  0.376853  0.139017  0.793714  0.60027  1.1296
960000  0.379795  0.141251  0.78547  0.598729  1.12211
970000  0.382706  0.143478  0.777369  0.597151  1.11468
980000  0.385587  0.1457  0.769409  0.595537  1.10733
990000  0.388439  0.147915  0.761587  0.593891  1.10006
1000000  0.391261  0.150124  0.7539  0.592214  1.09285
1010000  0.394056  0.152327  0.746344  0.590509  1.08572
1020000  0.396822  0.154524  0.738917  0.588778  1.07865
1030000  0.399561  0.156714  0.731615  0.587022  1.07166
1040000  0.402273  0.158898  0.724436  0.585244  1.06473
1050000  0.404959  0.161074  0.717378  0.583445  1.05787
1060000  0.407618  0.163245  0.710437  0.581627  1.05108
1070000  0.410252  0.165408  0.70361  0.579791  1.04435
1080000  0.412861  0.167564  0.696897  0.577939  1.03768
1090000  0.415445  0.169714  0.690293  0.576072  1.03108
1100000  0.418004  0.171856  0.683796  0.574192  1.02454
1110000  0.420539  0.173992  0.677404  0.572299  1.01806
1120000  0.423051  0.17612  0.671116  0.570395  1.01165
1130000  0.42554  0.178242  0.664928  0.568481  1.00529
1140000  0.428005  0.180356  0.658838  0.566559  0.998994
1150000  0.430449  0.182463  0.652844  0.564628  0.992756
1160000  0.43287  0.184563  0.646945  0.56269  0.986575
1170000  0.435269  0.186655  0.641137  0.560747  0.980451
1180000  0.437647  0.188741  0.63542  0.558798  0.974383
1190000  0.440003  0.190819  0.629791  0.556844  0.968371
1200000  0.442339  0.192889  0.624248  0.554888  0.962413
1210000  0.444654  0.194953  0.61879  0.552928  0.95651
1220000  0.446949  0.197009  0.613415  0.550966  0.950659
1230000  0.449225  0.199058  0.60812  0.549002  0.944862
1240000  0.45148  0.201099  0.602905  0.547037  0.939116
1250000  0.453717  0.203134  0.597768  0.545072  0.933421
1260000  0.455934  0.20516  0.592707  0.543107  0.927777
1270000  0.458133  0.20718  0.58772  0.541143  0.922183
1280000  0.460313  0.209192  0.582806  0.53918  0.916639
1290000  0.462475  0.211197  0.577964  0.537219  0.911143
1300000  0.464619  0.213195  0.573191  0.53526  0.905695
1310000  0.466746  0.215185  0.568487  0.533303  0.900294
1320000  0.468855  0.217168  0.563851  0.531349  0.89494
1330000  0.470947  0.219144  0.55928  0.529399  0.889633
1340000  0.473022  0.221113  0.554774  0.527452  0.884371
1350000  0.475081  0.223074  0.550331  0.525509  0.879155
1360000  0.477122  0.225028  0.54595  0.52357  0.873983
1370000  0.479148  0.226975  0.54163  0.521636  0.868854
1380000  0.481158  0.228914  0.53737  0.519706  0.86377
1390000  0.483152  0.230847  0.533168  0.517782  0.858728
1400000  0.48513  0.232772  0.529023  0.515863  0.853729
1410000  0.487094  0.23469  0.524935  0.513949  0.848772
1420000  0.489042  0.236602  0.520902  0.512042  0.843856
1430000  0.490975  0.238505  0.516922  0.51014  0.838981
1440000  0.492893  0.240402  0.512996  0.508245  0.834146
1450000  0.494797  0.242292  0.509122  0.506355  0.829351
1460000  0.496686  0.244175  0.505299  0.504473  0.824596
1470000  0.498562  0.246051  0.501526  0.502597  0.81988
1480000  0.500423  0.24792  0.497802  0.500728  0.815202
1490000  0.502271  0.249782  0.494127  0.498865  0.810562
1500000  0.504105  0.251637  0.490498  0.49701  0.80596
1510000  0.505925  0.253485  0.486917  0.495162  0.801395
1520000  0.507733  0.255326  0.483381  0.493322  0.796867
1530000  0.509527  0.25716  0.479889  0.491489  0.792375
1540000  0.511308  0.258988  0.476442  0.489663  0.787919
1550000  0.513077  0.260808  0.473038  0.487845  0.783499
1560000  0.514833  0.262622  0.469676  0.486034  0.779113
1570000  0.516576  0.26443  0.466356  0.484232  0.774762
1580000  0.518307  0.26623  0.463077  0.482437  0.770446
1590000  0.520026  0.268024  0.459839  0.48065  0.766164
1600000  0.521733  0.269811  0.456639  0.47887  0.761914
1610000  0.523429  0.271592  0.453479  0.477099  0.757699
1620000  0.525112  0.273366  0.450356  0.475336  0.753516
1630000  0.526784  0.275133  0.447271  0.473581  0.749365
1640000  0.528445  0.276894  0.444223  0.471834  0.745246
1650000  0.530094  0.278649  0.441211  0.470095  0.741159
1660000  0.531732  0.280397  0.438235  0.468364  0.737104
1670000  0.533359  0.282139  0.435294  0.466642  0.733079
1680000  0.534975  0.283874  0.432386  0.464928  0.729085
1690000  0.536581  0.285603  0.429513  0.463221  0.725121
1700000  0.538175  0.287325  0.426673  0.461523  0.721188
1710000  0.53976  0.289041  0.423866  0.459834  0.717284
1720000  0.541333  0.290751  0.421091  0.458152  0.713409
1730000  0.542897  0.292455  0.418347  0.456479  0.709564
1740000  0.54445  0.294152  0.415634  0.454814  0.705747
1750000  0.545994  0.295843  0.412952  0.453157  0.701958
1760000  0.547527  0.297528  0.4103  0.451509  0.698198
1770000  0.549051  0.299207  0.407678  0.449868  0.694466
1780000  0.550565  0.30088  0.405085  0.448236  0.690761
1790000  0.552069  0.302547  0.40252  0.446612  0.687083
1800000  0.553564  0.304208  0.399984  0.444996  0.683432
1810000  0.555049  0.305862  0.397475  0.443389  0.679808
1820000  0.556525  0.307511  0.394994  0.441789  0.676211
1830000  0.557992  0.309154  0.392539  0.440198  0.672639
1840000  0.55945  0.310791  0.390111  0.438615  0.669094
1850000  0.560899  0.312422  0.387709  0.437039  0.665574
1860000  0.562338  0.314047  0.385332  0.435472  0.662079
1870000  0.56377  0.315667  0.382981  0.433913  0.658609
1880000  0.565192  0.31728  0.380655  0.432362  0.655165
1890000  0.566606  0.318888  0.378353  0.430819  0.651744
1900000  0.568011  0.32049  0.376075  0.429284  0.648349
1910000  0.569408  0.322086  0.373821  0.427757  0.644977
1920000  0.570796  0.323677  0.37159  0.426238  0.641629
1930000  0.572176  0.325262  0.369382  0.424726  0.638304
1940000  0.573548  0.326841  0.367197  0.423223  0.635004
1950000  0.574912  0.328415  0.365034  0.421727  0.631726
1960000  0.576268  0.329984  0.362893  0.420239  0.628471
1970000  0.577616  0.331546  0.360774  0.418759  0.625239
1980000  0.578956  0.333104  0.358676  0.417286  0.622029
1990000  0.580288  0.334655  0.356599  0.415821  0.618841
2000000  0.581613  0.336202  0.354543  0.414364  0.615676
2010000  0.58293  0.337743  0.352507  0.412914  0.612532
2020000  0.584239  0.339278  0.350491  0.411472  0.60941
2030000  0.585541  0.340808  0.348496  0.410038  0.60631
2040000  0.586836  0.342333  0.346519  0.40861  0.60323
2050000  0.588123  0.343853  0.344562  0.407191  0.600172
2060000  0.589403  0.345367  0.342624  0.405778  0.597134
2070000  0.590676  0.346876  0.340705  0.404373  0.594117
2080000  0.591941  0.34838  0.338804  0.402976  0.591121
2090000  0.5932  0.349878  0.336922  0.401585  0.588144
2100000  0.594452  0.351372  0.335057  0.400202  0.585188
2110000  0.595697  0.35286  0.33321  0.398826  0.582251
2120000  0.596934  0.354343  0.331381  0.397457  0.579334
2130000  0.598166  0.355821  0.329568  0.396096  0.576437
2140000  0.59939  0.357295  0.327773  0.394741  0.573559
2150000  0.600608  0.358763  0.325994  0.393393  0.5707
2160000  0.601819  0.360226  0.324232  0.392053  0.56786
2170000  0.603023  0.361684  0.322486  0.390719  0.565038
2180000  0.604221  0.363137  0.320757  0.389392  0.562236
2190000  0.605413  0.364585  0.319043  0.388073  0.559451
2200000  0.606599  0.366028  0.317345  0.386759  0.556685
2210000  0.607778  0.367466  0.315662  0.385453  0.553937
2220000  0.60895  0.3689  0.313994  0.384154  0.551207
2230000  0.610117  0.370329  0.312342  0.382861  0.548495
2240000  0.611278  0.371752  0.310704  0.381575  0.5458
2250000  0.612432  0.373172  0.309081  0.380295  0.543123
2260000  0.61358  0.374586  0.307472  0.379022  0.540463
2270000  0.614723  0.375995  0.305878  0.377756  0.53782
2280000  0.615859  0.3774  0.304298  0.376496  0.535194
2290000  0.61699  0.378801  0.302731  0.375242  0.532585
2300000  0.618115  0.380196  0.301178  0.373995  0.529993
2310000  0.619234  0.381587  0.299639  0.372755  0.527417
2320000  0.620347  0.382973  0.298113  0.37152  0.524858
2330000  0.621455  0.384355  0.296601  0.370292  0.522315
2340000  0.622557  0.385732  0.295101  0.369071  0.519788
2350000  0.623654  0.387105  0.293614  0.367855  0.517277
2360000  0.624745  0.388473  0.29214  0.366646  0.514782
2370000  0.625831  0.389837  0.290679  0.365442  0.512302
2380000  0.626911  0.391196  0.28923  0.364245  0.509838
2390000  0.627985  0.392551  0.287793  0.363054  0.50739
2400000  0.629055  0.393901  0.286368  0.361869  0.504957
2410000  0.630119  0.395247  0.284955  0.36069  0.502538
2420000  0.631178  0.396588  0.283554  0.359516  0.500136
2430000  0.632232  0.397925  0.282164  0.358349  0.497747
2440000  0.63328  0.399258  0.280786  0.357188  0.495374
2450000  0.634324  0.400587  0.279419  0.356032  0.493016
2460000  0.635362  0.401911  0.278064  0.354882  0.490672
2470000  0.636396  0.403231  0.27672  0.353738  0.488342
2480000  0.637424  0.404546  0.275386  0.3526  0.486027
2490000  0.638447  0.405858  0.274064  0.351467  0.483725
2500000  0.639466  0.407165  0.272752  0.35034  0.481438
2510000  0.64048  0.408468  0.27145  0.349218  0.479165
2520000  0.641488  0.409767  0.270159  0.348102  0.476906
2530000  0.642492  0.411062  0.268879  0.346992  0.47466
2540000  0.643492  0.412352  0.267608  0.345887  0.472428
2550000  0.644486  0.413639  0.266348  0.344788  0.47021
2560000  0.645476  0.414921  0.265098  0.343693  0.468005
2570000  0.646461  0.416199  0.263857  0.342605  0.465813
2580000  0.647442  0.417474  0.262626  0.341521  0.463634
2590000  0.648418  0.418744  0.261405  0.340443  0.461469
2600000  0.64939  0.42001  0.260194  0.33937  0.459316
2610000  0.650357  0.421272  0.258991  0.338303  0.457176
2620000  0.651319  0.422531  0.257798  0.337241  0.455049
2630000  0.652277  0.423785  0.256615  0.336183  0.452935
2640000  0.653231  0.425035  0.25544  0.335131  0.450833
2650000  0.654181  0.426282  0.254274  0.334084  0.448743
2660000  0.655126  0.427525  0.253117  0.333042  0.446666
2670000  0.656067  0.428763  0.251969  0.332005  0.444602
2680000  0.657003  0.429998  0.25083  0.330974  0.442549
2690000  0.657935  0.431229  0.249699  0.329947  0.440508
2700000  0.658863  0.432456  0.248577  0.328925  0.43848
2710000  0.659787  0.43368  0.247463  0.327907  0.436463
2720000  0.660707  0.4349  0.246357  0.326895  0.434458
2730000  0.661623  0.436115  0.24526  0.325888  0.432465
2740000  0.662535  0.437328  0.24417  0.324885  0.430483
2750000  0.663442  0.438536  0.243089  0.323887  0.428513
2760000  0.664346  0.439741  0.242016  0.322894  0.426554
2770000  0.665245  0.440942  0.24095  0.321906  0.424607
2780000  0.666141  0.442139  0.239893  0.320922  0.422671
2790000  0.667033  0.443333  0.238843  0.319943  0.420745
2800000  0.667921  0.444523  0.237801  0.318969  0.418832
2810000  0.668804  0.445709  0.236766  0.317999  0.416929
2820000  0.669685  0.446892  0.235738  0.317033  0.415036
2830000  0.670561  0.448071  0.234718  0.316073  0.413155
2840000  0.671433  0.449247  0.233706  0.315116  0.411285
2850000  0.672302  0.450419  0.2327  0.314164  0.409425
2860000  0.673167  0.451588  0.231702  0.313217  0.407576
2870000  0.674028  0.452753  0.230711  0.312274  0.405737
2880000  0.674886  0.453915  0.229726  0.311335  0.403908
2890000  0.67574  0.455073  0.228749  0.310401  0.40209
2900000  0.67659  0.456227  0.227779  0.309471  0.400283
2910000  0.677437  0.457378  0.226815  0.308545  0.398485
2920000  0.67828  0.458526  0.225858  0.307624  0.396698
2930000  0.67912  0.45967  0.224907  0.306707  0.39492
2940000  0.679956  0.460811  0.223964  0.305794  0.393153
2950000  0.680789  0.461949  0.223026  0.304885  0.391395
2960000  0.681618  0.463083  0.222096  0.30398  0.389647
2970000  0.682443  0.464213  0.221171  0.30308  0.387909
2980000  0.683266  0.465341  0.220253  0.302183  0.386181
2990000  0.684084  0.466465  0.219341  0.301291  0.384462
3000000  0.6849  0.467586  0.218435  0.300402  0.382753
3010000  0.685712  0.468703  0.217536  0.299518  0.381053
3020000  0.686521  0.469817  0.216642  0.298638  0.379363
3030000  0.687326  0.470928  0.215755  0.297761  0.377682
3040000  0.688128  0.472036  0.214873  0.296889  0.37601
3050000  0.688927  0.47314  0.213998  0.296021  0.374348
3060000  0.689722  0.474241  0.213128  0.295156  0.372694
3070000  0.690515  0.475339  0.212264  0.294295  0.37105
3080000  0.691304  0.476434  0.211405  0.293438  0.369415
3090000  0.69209  0.477526  0.210553  0.292585  0.367788
3100000  0.692873  0.478614  0.209706  0.291736  0.366171
3110000  0.693652  0.479699  0.208864  0.29089  0.364562
3120000  0.694429  0.480781  0.208028  0.290049  0.362962
3130000  0.695202  0.48186  0.207198  0.289211  0.361371
3140000  0.695973  0.482936  0.206372  0.288376  0.359788
3150000  0.69674  0.484009  0.205552  0.287546  0.358214
3160000  0.697504  0.485078  0.204738  0.286719  0.356648
3170000  0.698265  0.486145  0.203929  0.285895  0.355091
3180000  0.699024  0.487208  0.203124  0.285075  0.353542
3190000  0.699779  0.488269  0.202326  0.284259  0.352001
3200000  0.700531  0.489326  0.201532  0.283447  0.350469
3210000  0.70128  0.490381  0.200743  0.282638  0.348945
3220000  0.702027  0.491432  0.199959  0.281832  0.347429
3230000  0.70277  0.492481  0.19918  0.28103  0.345922
3240000  0.703511  0.493526  0.198406  0.280231  0.344422
3250000  0.704248  0.494568  0.197637  0.279436  0.34293
3260000  0.704983  0.495608  0.196873  0.278644  0.341446
3270000  0.705715  0.496645  0.196113  0.277856  0.33997
3280000  0.706444  0.497678  0.195358  0.277071  0.338502
3290000  0.707171  0.498709  0.194608  0.276289  0.337042
3300000  0.707894  0.499737  0.193863  0.275511  0.335589
3310000  0.708615  0.500762  0.193122  0.274736  0.334144
3320000  0.709333  0.501784  0.192386  0.273965  0.332707
3330000  0.710048  0.502803  0.191654  0.273196  0.331277
3340000  0.710761  0.503819  0.190927  0.272431  0.329855
3350000  0.711471  0.504833  0.190204  0.271669  0.32844
3360000  0.712178  0.505843  0.189485  0.270911  0.327032
3370000  0.712883  0.506851  0.188771  0.270155  0.325632
3380000  0.713585  0.507856  0.188061  0.269403  0.324239
3390000  0.714284  0.508858  0.187356  0.268654  0.322854
3400000  0.714981  0.509858  0.186655  0.267908  0.321476
3410000  0.715675  0.510854  0.185958  0.267165  0.320104
3420000  0.716366  0.511848  0.185265  0.266426  0.31874
3430000  0.717055  0.512839  0.184576  0.265689  0.317383
3440000  0.717741  0.513828  0.183891  0.264955  0.316033
3450000  0.718425  0.514813  0.183211  0.264225  0.31469
3460000  0.719106  0.515796  0.182534  0.263497  0.313354
3470000  0.719785  0.516777  0.181862  0.262773  0.312025
3480000  0.720461  0.517754  0.181193  0.262052  0.310703
