# n      x1       x2       g1      g2      eps

0  1.5  2.3  -0.647871  -0.399405  1.94
1  1.5  2.3  -0.64787  -0.399404  1.94
2  1.5  2.3  -0.647868  -0.399403  1.94
3  1.5  2.3  -0.647865  -0.399401  1.94
4  1.5  2.3  -0.647862  -0.399399  1.93999
5  1.5  2.3  -0.647857  -0.399396  1.93999
6  1.49999  2.3  -0.647851  -0.399393  1.93999
7  1.49999  2.3  -0.647845  -0.399389  1.93998
8  1.49999  2.29999  -0.647838  -0.399384  1.93998
9  1.49999  2.29999  -0.647829  -0.399379  1.93997
10  1.49999  2.29999  -0.64782  -0.399373  1.93997
11  1.49998  2.29999  -0.64781  -0.399367  1.93996
12  1.49998  2.29999  -0.647799  -0.39936  1.93995
13  1.49998  2.29999  -0.647787  -0.399352  1.93994
14  1.49997  2.29998  -0.647774  -0.399344  1.93993
15  1.49997  2.29998  -0.64776  -0.399336  1.93992
16  1.49997  2.29998  -0.647745  -0.399327  1.93991
17  1.49996  2.29998  -0.64773  -0.399317  1.9399
18  1.49996  2.29997  -0.647713  -0.399306  1.93989
19  1.49995  2.29997  -0.647696  -0.399295  1.93988
20  1.49995  2.29997  -0.647677  -0.399284  1.93987
21  1.49994  2.29997  -0.647658  -0.399272  1.93985
22  1.49994  2.29996  -0.647637  -0.399259  1.93984
23  1.49993  2.29996  -0.647616  -0.399246  1.93983
24  1.49993  2.29996  -0.647594  -0.399232  1.93981
25  1.49992  2.29995  -0.647571  -0.399218  1.9398
26  1.49992  2.29995  -0.647547  -0.399203  1.93978
27  1.49991  2.29994  -0.647522  -0.399187  1.93976
28  1.4999  2.29994  -0.647496  -0.399171  1.93975
29  1.4999  2.29994  -0.64747  -0.399155  1.93973
30  1.49989  2.29993  -0.647442  -0.399137  1.93971
31  1.49988  2.29993  -0.647413  -0.399119  1.93969
32  1.49987  2.29992  -0.647384  -0.399101  1.93967
33  1.49986  2.29992  -0.647354  -0.399082  1.93965
34  1.49986  2.29991  -0.647322  -0.399063  1.93963
35  1.49985  2.29991  -0.64729  -0.399042  1.9396
36  1.49984  2.2999  -0.647257  -0.399022  1.93958
37  1.49983  2.2999  -0.647223  -0.399  1.93956
38  1.49982  2.29989  -0.647188  -0.398979  1.93953
39  1.49981  2.29988  -0.647152  -0.398956  1.93951
40  1.4998  2.29988  -0.647115  -0.398933  1.93949
41  1.49979  2.29987  -0.647077  -0.39891  1.93946
42  1.49978  2.29987  -0.647038  -0.398886  1.93943
43  1.49977  2.29986  -0.646999  -0.398861  1.93941
44  1.49976  2.29985  -0.646958  -0.398836  1.93938
45  1.49975  2.29985  -0.646917  -0.39881  1.93935
46  1.49974  2.29984  -0.646874  -0.398783  1.93932
47  1.49973  2.29983  -0.646831  -0.398756  1.93929
48  1.49972  2.29983  -0.646787  -0.398729  1.93926
49  1.4997  2.29982  -0.646742  -0.398701  1.93923
50  1.49969  2.29981  -0.646696  -0.398672  1.9392
51  1.49968  2.2998  -0.646649  -0.398643  1.93917
52  1.49967  2.2998  -0.646601  -0.398613  1.93914
53  1.49966  2.29979  -0.646552  -0.398582  1.9391
54  1.49964  2.29978  -0.646502  -0.398551  1.93907
55  1.49963  2.29977  -0.646452  -0.39852  1.93903
56  1.49962  2.29976  -0.6464  -0.398487  1.939
57  1.4996  2.29975  -0.646348  -0.398455  1.93896
58  1.49959  2.29975  -0.646294  -0.398421  1.93893
59  1.49957  2.29974  -0.64624  -0.398388  1.93889
60  1.49956  2.29973  -0.646185  -0.398353  1.93885
61  1.49954  2.29972  -0.646129  -0.398318  1.93881
62  1.49953  2.29971  -0.646072  -0.398283  1.93878
63  1.49951  2.2997  -0.646014  -0.398246  1.93874
64  1.4995  2.29969  -0.645955  -0.39821  1.9387
65  1.49948  2.29968  -0.645895  -0.398172  1.93866
66  1.49947  2.29967  -0.645834  -0.398135  1.93861
67  1.49945  2.29966  -0.645773  -0.398096  1.93857
68  1.49944  2.29965  -0.64571  -0.398057  1.93853
69  1.49942  2.29964  -0.645647  -0.398018  1.93849
70  1.4994  2.29963  -0.645583  -0.397977  1.93844
71  1.49938  2.29962  -0.645517  -0.397937  1.9384
72  1.49937  2.29961  -0.645451  -0.397896  1.93835
73  1.49935  2.2996  -0.645384  -0.397854  1.93831
74  1.49933  2.29959  -0.645316  -0.397811  1.93826
75  1.49931  2.29958  -0.645247  -0.397768  1.93822
76  1.4993  2.29957  -0.645177  -0.397725  1.93817
77  1.49928  2.29955  -0.645107  -0.397681  1.93812
78  1.49926  2.29954  -0.645035  -0.397636  1.93807
79  1.49924  2.29953  -0.644962  -0.397591  1.93802
80  1.49922  2.29952  -0.644889  -0.397545  1.93797
81  1.4992  2.29951  -0.644815  -0.397498  1.93792
