# n      x1       x2       g1      g2      eps

0  -1  -1  804  400  8
1  -0.9997  -0.999851  803.461  399.85  7.99821
2  -0.999102  -0.999553  802.384  399.552  7.99462
3  -0.998206  -0.999107  800.774  399.105  7.98926
4  -0.997015  -0.998514  798.637  398.511  7.98213
5  -0.995533  -0.997776  795.982  397.772  7.97326
6  -0.993762  -0.996894  792.819  396.891  7.96267
7  -0.99171  -0.99587  789.163  395.872  7.9504
8  -0.98938  -0.994707  785.027  394.716  7.93649
9  -0.98678  -0.993409  780.429  393.429  7.92097
10  -0.983917  -0.991977  775.387  392.014  7.9039
11  -0.980799  -0.990417  769.92  390.477  7.88532
12  -0.977434  -0.988731  764.05  388.822  7.8653
13  -0.973831  -0.986923  757.798  387.054  7.84387
14  -0.969999  -0.984998  751.187  385.179  7.82111
15  -0.965947  -0.98296  744.239  383.203  7.79708
16  -0.961686  -0.980813  736.979  381.131  7.77183
17  -0.957225  -0.978562  729.431  378.968  7.74544
18  -0.952575  -0.976211  721.618  376.722  7.71796
19  -0.947746  -0.973766  713.564  374.398  7.68947
20  -0.942748  -0.97123  705.292  372.001  7.66002
21  -0.937591  -0.968608  696.825  369.537  7.62968
22  -0.932286  -0.965905  688.186  367.013  7.59851
23  -0.926843  -0.963125  679.397  364.433  7.56658
24  -0.92127  -0.960273  670.479  361.803  7.53395
25  -0.915579  -0.957354  661.451  359.128  7.50068
26  -0.909778  -0.95437  652.334  356.413  7.46682
27  -0.903877  -0.951328  643.146  353.664  7.43243
28  -0.897884  -0.948229  633.904  350.885  7.39756
29  -0.891808  -0.94508  624.626  348.08  7.36227
30  -0.885657  -0.941882  615.325  345.254  7.32661
31  -0.879439  -0.93864  606.018  342.411  7.29062
32  -0.873162  -0.935357  596.718  339.554  7.25435
33  -0.866833  -0.932037  587.437  336.687  7.21783
34  -0.860458  -0.928683  578.188  333.814  7.18112
35  -0.854045  -0.925297  568.98  330.938  7.14425
36  -0.847599  -0.921882  559.825  328.061  7.10726
37  -0.841127  -0.918442  550.731  325.187  7.07017
38  -0.834634  -0.914978  541.705  322.318  7.03302
39  -0.828125  -0.911494  532.757  319.457  6.99585
40  -0.821605  -0.907991  523.892  316.605  6.95867
41  -0.815078  -0.904472  515.116  313.765  6.92152
42  -0.80855  -0.900938  506.436  310.938  6.88442
43  -0.802024  -0.897391  497.855  308.127  6.84739
44  -0.795504  -0.893834  489.377  305.332  6.81044
45  -0.788994  -0.890268  481.007  302.556  6.77361
46  -0.782496  -0.886694  472.748  299.799  6.73691
47  -0.776014  -0.883114  464.601  297.062  6.70034
48  -0.76955  -0.879529  456.57  294.347  6.66394
49  -0.763108  -0.875941  448.655  291.655  6.62771
50  -0.75669  -0.872351  440.859  288.986  6.59166
51  -0.750298  -0.868759  433.183  286.341  6.5558
52  -0.743933  -0.865167  425.627  283.721  6.52015
53  -0.737599  -0.861575  418.191  281.125  6.48471
54  -0.731296  -0.857985  410.876  278.556  6.44949
55  -0.725026  -0.854397  403.682  276.012  6.4145
56  -0.718791  -0.850813  396.609  273.495  6.37975
57  -0.712592  -0.847232  389.655  271.004  6.34524
58  -0.706429  -0.843655  382.822  268.54  6.31097
59  -0.700305  -0.840084  376.107  266.102  6.27695
60  -0.694221  -0.836517  369.509  263.692  6.24318
61  -0.688176  -0.832957  363.029  261.308  6.20967
62  -0.682171  -0.829403  356.664  258.952  6.17641
63  -0.676209  -0.825855  350.414  256.623  6.14342
64  -0.670288  -0.822315  344.276  254.32  6.11069
65  -0.664409  -0.818782  338.25  252.044  6.07823
66  -0.658574  -0.815256  332.335  249.795  6.04602
67  -0.652782  -0.811739  326.528  247.573  6.01408
68  -0.647033  -0.808229  320.828  245.376  5.98241
69  -0.641329  -0.804728  315.233  243.206  5.951
70  -0.635668  -0.801236  309.742  241.062  5.91986
71  -0.630052  -0.797752  304.354  238.943  5.88898
