#h, i, err
1 1 9.59133
1 2 30.4295
1 3 66.2964
1 4 124.095
1 5 215.503
1 6 359.555
1 7 586.679
1 8 945.04
1 9 1510.6
1 10 2403.05
0.1 1 0.0136614
0.1 2 0.0409876
0.1 3 0.0819858
0.1 4 0.136666
0.1 5 0.205043
0.1 6 0.287134
0.1 7 0.38296
0.1 8 0.492546
0.1 9 0.615919
0.1 10 0.753111
0.01 1 1.39921e-05
0.01 2 4.19763e-05
0.01 3 8.39526e-05
0.01 4 0.000139921
0.01 5 0.000209881
0.01 6 0.000293834
0.01 7 0.000391779
0.01 8 0.000503716
0.01 9 0.000629645
0.01 10 0.000769567
0.001 1 1.40238e-08
0.001 2 4.20714e-08
0.001 3 8.41429e-08
0.001 4 1.40238e-07
0.001 5 2.10357e-07
0.001 6 2.945e-07
0.001 7 3.92667e-07
0.001 8 5.04857e-07
0.001 9 6.31071e-07
0.001 10 7.71309e-07
0.0001 1 1.40276e-11
0.0001 2 4.20793e-11
0.0001 3 8.41586e-11
0.0001 4 1.40269e-10
0.0001 5 2.10406e-10
0.0001 6 2.94568e-10
0.0001 7 3.92757e-10
0.0001 8 5.04974e-10
0.0001 9 6.31215e-10
0.0001 10 7.71483e-10
1e-05 1 1.42109e-14
1e-05 2 4.38008e-14
1e-05 3 8.76016e-14
1e-05 4 1.4086e-13
1e-05 5 2.07887e-13
1e-05 6 2.91496e-13
1e-05 7 3.88661e-13
1e-05 8 5.0248e-13
1e-05 9 6.29783e-13
1e-05 10 7.67057e-13
1e-06 1 0
1e-06 2 0
1e-06 3 0
1e-06 4 0
1e-06 5 0
1e-06 6 0
1e-06 7 0
1e-06 8 0
1e-06 9 0
1e-06 10 0
1e-07 1 0
1e-07 2 0
1e-07 3 0
1e-07 4 0
1e-07 5 0
1e-07 6 0
1e-07 7 0
1e-07 8 0
1e-07 9 0
1e-07 10 0
