Zeit Energie
0 4.37302341
0.06666666667 4.351360312
0.1333333333 4.333414231
0.2 4.318920172
0.2666666667 4.307558846
0.3333333333 4.298963519
0.4 4.292727076
0.4666666667 4.288409641
0.5333333333 4.285546782
0.6 4.283657991
0.6666666667 4.282255344
0.7333333333 4.280852188
0.8 4.278971679
0.8666666667 4.276155038
0.9333333333 4.271969381
1 4.266014986
1.066666667 4.25793188
1.133333333 4.24740564
1.2 4.234172311
1.266666667 4.218022373
1.333333333 4.198803689
1.4 4.176423412
1.466666667 4.15084881
1.533333333 4.12210703
1.6 4.090283807
1.666666667 4.055521151
1.733333333 4.018014079
1.8 3.978006456
1.866666667 3.935786025
1.933333333 3.891678733
2 3.846042457
2.066666667 3.799260253
2.133333333 3.751733243
2.2 3.703873291
2.266666667 3.65609557
2.333333333 3.608811185
2.4 3.562419955
2.466666667 3.517303495
2.533333333 3.473818706
2.6 3.432291796
2.666666667 3.393012909
2.733333333 3.356231473
2.8 3.322152321
2.866666667 3.290932649
2.933333333 3.262679862
3 3.237450317
3.066666667 3.21524899
3.133333333 3.196030049
3.2 3.179698321
3.266666667 3.166111601
3.333333333 3.155083769
3.4 3.146388636
3.466666667 3.139764445
3.533333333 3.134918938
3.6 3.131534903
3.666666667 3.129276076
3.733333333 3.127793307
3.8 3.126730872
3.866666667 3.125732816
3.933333333 3.124449214
4 3.122542248
4.066666667 3.119691988
4.133333333 3.115601777
4.2 3.11000314
4.266666667 3.102660128
4.333333333 3.093373034
4.4 3.081981418
4.466666667 3.068366398
4.533333333 3.052452184
4.6 3.034206826
4.666666667 3.013642184
4.733333333 2.990813119
4.8 2.965815946
4.866666667 2.938786169
4.933333333 2.909895558
5 2.879348626
5.066666667 2.847378572
5.133333333 2.814242777
5.2 2.780217931
5.266666667 2.745594881
5.333333333 2.710673304
5.4 2.675756288
5.466666667 2.641144933
5.533333333 2.607133048
5.6 2.574002059
5.666666667 2.542016191
5.733333333 2.511418028
5.8 2.482424505
5.866666667 2.45522341
5.933333333 2.429970444
6 2.406786892
6.066666667 2.385757919
6.133333333 2.36693154
6.2 2.350318251
6.266666667 2.335891323
6.333333333 2.323587763
6.4 2.313309881
6.466666667 2.304927469
6.533333333 2.298280508
6.6 2.293182378
6.666666667 2.289423483
6.733333333 2.286775243
6.8 2.284994362
6.866666667 2.2838273
6.933333333 2.283014869
7 2.282296865
7.066666667 2.281416658
7.133333333 2.280125659
7.2 2.278187584
7.266666667 2.275382444
7.333333333 2.271510201
7.4 2.266394017
7.466666667 2.259883053
7.533333333 2.251854772
7.6 2.242216719
7.666666667 2.230907734
7.733333333 2.21789861
7.8 2.203192173
7.866666667 2.186822795
7.933333333 2.16885536
8 2.149383706
8.066666667 2.128528572
8.133333333 2.106435109
8.2 2.083269979
8.266666667 2.059218126
8.333333333 2.034479258
8.4 2.009264122
8.466666667 1.983790633
8.533333333 1.95827992
8.6 1.93295238
8.666666667 1.908023789
8.733333333 1.883701546
8.8 1.86018112
8.866666667 1.837642751
8.933333333 1.816248459
9 1.796139426
9.066666667 1.777433764
9.133333333 1.760224738
9.2 1.74457943
9.266666667 1.730537901
9.333333333 1.718112833
9.4 1.707289652
9.466666667 1.698027142
9.533333333 1.690258516
9.6 1.683892918
9.666666667 1.678817339
9.733333333 1.674898893
9.8 1.671987414
9.866666667 1.669918321
9.933333333 1.668515708
10 1.667595583
10.06666667 1.666969209
10.13333333 1.666446491
10.2 1.665839332
10.26666667 1.66496492
10.33333333 1.663648867
10.4 1.66172817
10.46666667 1.65905392
10.53333333 1.655493739
10.6 1.650933879
10.66666667 1.645280982
10.73333333 1.638463439
10.8 1.630432362
10.86666667 1.621162137
10.93333333 1.610650555
11 1.598918535
11.06666667 1.586009445
11.13333333 1.571988023
11.2 1.556938955
11.26666667 1.5409651
11.33333333 1.524185434
11.4 1.506732728
11.46666667 1.488751019
11.53333333 1.470392908
11.6 1.451816755
11.66666667 1.433183798
11.73333333 1.414655263
11.8 1.396389521
11.86666667 1.378539317
11.93333333 1.361249148
12 1.344652819
12.06666667 1.328871213
12.13333333 1.314010327
12.2 1.300159592
12.26666667 1.287390507
12.33333333 1.27575561
12.4 1.265287796
12.46666667 1.255999989
12.53333333 1.247885173
12.6 1.24091677
12.66666667 1.235049365
12.73333333 1.230219747
12.8 1.226348253
