t  Ekin    Epot    T   vs_x    vs_y 

0	1.65937	-2.2495	1	0	0
10	1.65937	-4.49901	0.110625	-1.04083e-15	-3.81639e-15	
20	1.65937	-6.74851	0.110625	-1.04083e-15	-3.81639e-15	
30	1.65937	-8.99802	0.110625	-1.04083e-15	-3.81639e-15	
40	1.65937	-11.2475	0.110625	-1.04083e-15	-3.81639e-15	
50	1.65937	-13.497	0.110625	-1.04083e-15	-3.81639e-15	
60	1.65937	-15.7465	0.110625	-1.04083e-15	-3.81639e-15	
70	1.65937	-17.996	0.110625	-1.04083e-15	-3.81639e-15	
80	1.65937	-20.2455	0.110625	-1.04083e-15	-3.81639e-15	
90	1.65937	-22.495	0.110625	-1.04083e-15	-3.81639e-15	
