t vsx vsy Ekin Epot T 

0 -8.67361738e-19 5.204170428e-18 0.15 -2.218261719 0.01
0.01 -1.734723476e-18 0 0.1500336589 -2.231978539 0.01000224393
0.02 -8.67361738e-19 5.204170428e-18 0.1501200453 -2.23206492 0.01000800302
0.03 2.602085214e-18 8.67361738e-18 0.1502446117 -2.232189479 0.01001630745
0.04 -8.67361738e-19 0 0.150407468 -2.232352326 0.01002716453
0.05 -8.67361738e-19 3.469446952e-18 0.1506087533 -2.2325536 0.01004058355
0.06 0 3.469446952e-18 0.1508486363 -2.23279347 0.01005657575
0.07 -2.602085214e-18 0 0.1511273155 -2.233072134 0.01007515436
0.08 1.734723476e-18 0 0.1514450194 -2.233389821 0.01009633462
0.09 -3.469446952e-18 0 0.1518020068 -2.233746789 0.01012013379
0.1 8.67361738e-19 -3.469446952e-18 0.1521985673 -2.234143329 0.01014657116
0.11 0 0 0.1526350214 -2.23457976 0.0101756681
0.12 -1.734723476e-18 -1.734723476e-18 0.1531117211 -2.235056435 0.01020744807
0.13 4.33680869e-18 -5.204170428e-18 0.15362905 -2.235573737 0.01024193667
0.14 8.67361738e-19 -6.938893904e-18 0.1541874245 -2.236132082 0.01027916164
0.15 -1.734723476e-18 -8.67361738e-18 0.1547872937 -2.23673192 0.01031915291
0.16 1.734723476e-18 -8.67361738e-18 0.15542914 -2.237373733 0.01036194266
0.17 0 -6.938893904e-18 0.1561134799 -2.238058038 0.01040756533
0.18 -2.602085214e-18 -5.204170428e-18 0.1568408649 -2.238785385 0.01045605766
0.19 0 -1.734723476e-18 0.1576118816 -2.239556361 0.01050745877
0.2 -2.602085214e-18 -6.938893904e-18 0.1584271528 -2.24037159 0.01056181019
0.21 -8.67361738e-19 -3.469446952e-18 0.1592873383 -2.24123173 0.01061915589
0.22 1.734723476e-18 -6.938893904e-18 0.1601931358 -2.24213748 0.01067954239
0.23 0 -1.040834086e-17 0.1611452816 -2.243089576 0.01074301877
0.24 -1.734723476e-18 -8.67361738e-18 0.1621445515 -2.244088794 0.01080963677
0.25 -1.734723476e-18 -1.214306433e-17 0.1631917623 -2.245135949 0.01087945082
0.26 0 -1.040834086e-17 0.1642877723 -2.246231901 0.01095251815
0.27 -2.602085214e-18 -1.561251128e-17 0.1654334827 -2.247377551 0.01102889885
0.28 -8.67361738e-19 -1.214306433e-17 0.1666298389 -2.248573843 0.01110865593
0.29 0 -1.040834086e-17 0.1678778315 -2.249821769 0.01119185543
0.3 -1.734723476e-18 -8.67361738e-18 0.1691784979 -2.251122365 0.01127856653
0.31 -4.33680869e-18 -1.040834086e-17 0.1705329235 -2.252476718 0.01136886157
0.32 1.734723476e-18 -1.214306433e-17 0.1719422435 -2.253885961 0.01146281623
0.33 0 -1.387778781e-17 0.173407644 -2.255351282 0.0115605096
0.34 3.469446952e-18 -6.938893904e-18 0.174930364 -2.256873919 0.01166202427
0.35 2.602085214e-18 -1.214306433e-17 0.1765116974 -2.258455165 0.01176744649
0.36 2.602085214e-18 -1.214306433e-17 0.1781529941 -2.260096371 0.01187686627
0.37 -8.67361738e-19 -8.67361738e-18 0.1798556627 -2.261798945 0.01199037752
0.38 -8.67361738e-19 -1.214306433e-17 0.1816211722 -2.263564356 0.01210807815
0.39 0 -1.387778781e-17 0.1834510542 -2.265394135 0.01223007028
0.4 -1.734723476e-18 -1.387778781e-17 0.1853469051 -2.267289879 0.01235646034
0.41 -1.734723476e-18 -1.734723476e-17 0.1873103889 -2.269253251 0.01248735926
0.42 -1.734723476e-18 -1.734723476e-17 0.1893432392 -2.271285985 0.01262288261
0.43 -2.602085214e-18 -1.387778781e-17 0.1914472624 -2.273389886 0.01276315083
0.44 -6.071532166e-18 -1.561251128e-17 0.1936243402 -2.275566838 0.01290828935
0.45 -4.33680869e-18 -2.081668171e-17 0.1958764327 -2.277818798 0.01305842885
0.46 -1.734723476e-18 -1.908195824e-17 0.1982055817 -2.28014781 0.01321370545
0.47 -8.67361738e-19 -2.775557562e-17 0.2006139136 -2.282555999 0.01337426091
0.48 0 -1.734723476e-17 0.2031036436 -2.28504558 0.01354024291
0.49 -4.33680869e-18 -1.908195824e-17 0.2056770789 -2.28761886 0.01371180526
0.5 -5.204170428e-18 -2.602085214e-17 0.2083366226 -2.290278242 0.01388910817
0.51 8.67361738e-19 -1.908195824e-17 0.2110847785 -2.293026229 0.01407231856
0.52 -2.602085214e-18 -2.081668171e-17 0.2139241546 -2.295865429 0.01426161031
0.53 2.602085214e-18 -1.561251128e-17 0.2168574687 -2.29879856 0.01445716458
0.54 0 -2.081668171e-17 0.2198875525 -2.301828453 0.01465917017
0.55 3.469446952e-18 -1.908195824e-17 0.2230173574 -2.304958059 0.01486782383
0.56 5.204170428e-18 -2.255140519e-17 0.2262499599 -2.308190453 0.01508333066
0.57 1.734723476e-18 -2.428612866e-17 0.2295885672 -2.311528844 0.01530590448
0.58 3.469446952e-18 -2.081668171e-17 0.233036569 -2.315952899 0.01553577127
0.59 3.469446952e-18 -1.908195824e-17 0.2365974691 -2.319513563 0.01577316461
0.6 3.469446952e-18 -2.255140519e-17 0.2402748678 -2.323190715 0.01601832452
0.61 5.204170428e-18 -2.255140519e-17 0.2440725645 -2.326988154 0.0162715043
0.62 3.469446952e-18 -2.255140519e-17 0.247994525 -2.330909846 0.01653296833
0.63 0 -1.908195824e-17 0.2520448901 -2.33495993 0.01680299267
0.64 -3.469446952e-18 -1.908195824e-17 0.2562279842 -2.33914273 0.01708186561
0.65 -3.469446952e-18 -2.602085214e-17 0.2605483252 -2.343462764 0.01736988835
0.66 -6.938893904e-18 -1.908195824e-17 0.2650106347 -2.347924752 0.01766737565
0.67 -1.734723476e-18 -1.908195824e-17 0.2696198487 -2.352533629 0.01797465658
0.68 -1.734723476e-18 -1.387778781e-17 0.2743811294 -2.357294558 0.01829207529
0.69 1.734723476e-18 -1.040834086e-17 0.2792998776 -2.362212937 0.01861999184
0.7 0 -1.561251128e-17 0.284381746 -2.367294419 0.01895878306
0.71 -3.469446952e-18 -8.67361738e-18 0.2896326533 -2.372544922 0.01930884355
0.72 -1.734723476e-18 -8.67361738e-18 0.2950587995 -2.377970643 0.01967058663
0.73 1.734723476e-18 -1.214306433e-17 0.3006666822 -2.38357808 0.02004444548
0.74 0 -8.67361738e-18 0.306463114 -2.389374045 0.02043087427
0.75 0 -1.040834086e-17 0.3124552413 -2.395365681 0.02083034942
0.76 -5.204170428e-18 -5.204170428e-18 0.3186505644 -2.401560488 0.02124337096
0.77 -3.469446952e-18 -1.040834086e-17 0.3250569591 -2.40796634 0.02167046394
0.78 -3.469446952e-18 -5.204170428e-18 0.3316827 -2.41459151 0.02211218
0.79 0 -1.040834086e-17 0.3385364855 -2.421444695 0.02256909904
0.8 -1.734723476e-18 -8.67361738e-18 0.3456274652 -2.428535042 0.02304183101
0.81 -5.204170428e-18 -1.040834086e-17 0.3529652682 -2.435872178 0.02353101788
0.82 -3.469446952e-18 -1.040834086e-17 0.3605600356 -2.443466242 0.0240373357
0.83 -5.204170428e-18 -1.214306433e-17 0.3684224534 -2.451327918 0.02456149689
0.84 -5.204170428e-18 -1.214306433e-17 0.3765637902 -2.459468471 0.02510425268
0.85 -5.204170428e-18 -1.040834086e-17 0.3849959366 -2.467899789 0.02566639577
0.86 -1.040834086e-17 -8.67361738e-18 0.3937314481 -2.476634425 0.02624876321
0.87 -1.214306433e-17 -8.67361738e-18 0.4027835926 -2.485685643 0.0268522395
0.88 -8.67361738e-18 -1.387778781e-17 0.4121664005 -2.495067469 0.02747776003
0.89 -1.040834086e-17 -1.387778781e-17 0.4218947204 -2.504794749 0.0281263147
0.9 -1.040834086e-17 -1.387778781e-17 0.4319842793 -2.514883204 0.02879895196
0.91 -8.67361738e-18 -1.734723476e-17 0.4424517478 -2.525349501 0.02949678319
0.92 -1.214306433e-17 -1.040834086e-17 0.4533148115 -2.53621132 0.03022098743
0.93 -1.040834086e-17 -1.040834086e-17 0.4645922492 -2.547487433 0.03097281661
0.94 -1.387778781e-17 -6.938893904e-18 0.4763040179 -2.559197793 0.03175360119
0.95 -8.67361738e-18 -6.938893904e-18 0.4884713456 -2.571363619 0.03256475637
0.96 -6.938893904e-18 -1.040834086e-17 0.5011168333 -2.584007505 0.03340778889
0.97 -6.938893904e-18 -1.040834086e-17 0.5142645665 -2.597153529 0.03428430444
0.98 -1.387778781e-17 -1.040834086e-17 0.5279402371 -2.610827373 0.03519601581
0.99 -1.214306433e-17 -1.387778781e-17 0.5421712773 -2.62505646 0.03614475182
1 -1.734723476e-17 -1.387778781e-17 0.5569870064 -2.639870098 0.0371324671
1.01 -8.67361738e-18 -1.040834086e-17 0.5724187922 -2.655299644 0.03816125282
1.02 -1.387778781e-17 -6.938893904e-18 0.5885002273 -2.671378676 0.03923334849
1.03 -1.387778781e-17 -1.387778781e-17 0.6052673232 -2.688143191 0.04035115488
1.04 -1.561251128e-17 -1.040834086e-17 0.6227587231 -2.705631819 0.04151724821
1.05 -1.734723476e-17 -1.387778781e-17 0.6410159349 -2.723886049 0.04273439566
1.06 -1.040834086e-17 -1.387778781e-17 0.660083586 -2.74295049 0.0440055724
1.07 -1.040834086e-17 -1.734723476e-17 0.6800097027 -2.762873149 0.04533398018
1.08 -1.214306433e-17 -2.081668171e-17 0.700846013 -2.783705731 0.04672306753
1.09 -1.387778781e-17 -1.387778781e-17 0.7226482766 -2.805503973 0.04817655177
1.1 -1.214306433e-17 -6.938893904e-18 0.745476641 -2.828327998 0.04969844274
1.11 -1.214306433e-17 -1.040834086e-17 0.7693960231 -2.852242697 0.05129306821
1.12 -2.081668171e-17 -1.040834086e-17 0.7944765148 -2.877318133 0.05296510099
1.13 -1.908195824e-17 -3.469446952e-18 0.8207938088 -2.903629973 0.05471958725
1.14 -1.214306433e-17 0 0.8484296353 -2.931259919 0.05656197569
1.15 -1.214306433e-17 -3.469446952e-18 0.8774722004 -2.960296154 0.05849814669
1.16 -1.387778781e-17 3.469446952e-18 0.9080166037 -2.990833757 0.06053444025
1.17 -6.938893904e-18 -3.469446952e-18 0.9401652086 -3.022975079 0.06267768057
1.18 -1.040834086e-17 0 0.9740279208 -3.056830026 0.06493519472
1.19 0 -3.469446952e-18 1.009722312 -3.092516191 0.06731482079
1.2 -1.734723476e-17 0 1.047373493 -3.130158734 0.06982489952
1.21 -1.040834086e-17 3.469446952e-18 1.087113607 -3.169889895 0.07247424044
1.22 -1.387778781e-17 -3.469446952e-18 1.129087466 -3.21283743 0.07527249774
1.23 -1.734723476e-17 0 1.173437757 -3.257178711 0.07822918379
1.24 -1.734723476e-17 0 1.220300953 -3.304033397 0.08135339689
1.25 -1.040834086e-17 3.469446952e-18 1.26981575 -3.35354078 0.08465438331
1.26 -1.040834086e-17 6.938893904e-18 1.322108886 -3.405828486 0.0881405924
1.27 -6.938893904e-18 3.469446952e-18 1.377283624 -3.461001077 0.09181890829
1.28 -6.938893904e-18 2.081668171e-17 1.435402761 -3.519123237 0.09569351743
1.29 -1.734723476e-17 1.734723476e-17 1.496463893 -3.580195273 0.09976425952
1.3 -1.734723476e-17 1.040834086e-17 1.560363786 -3.644117823 0.1040242524
1.31 -1.040834086e-17 2.081668171e-17 1.626847672 -3.71064157 0.1084565115
1.32 -1.387778781e-17 2.081668171e-17 1.695442517 -3.780281199 0.1130295012
1.33 -1.734723476e-17 1.387778781e-17 1.765350782 -3.851265696 0.1176900521
1.34 -2.428612866e-17 2.428612866e-17 1.835318421 -3.921381461 0.1223545614
1.35 -1.040834086e-17 3.469446952e-17 1.903476017 -3.989752221 0.1268984011
1.36 -1.734723476e-17 2.775557562e-17 1.967136748 -4.053709481 0.1311424499
1.37 -3.469446952e-18 2.775557562e-17 2.022594929 -4.109563293 0.1348396619
1.38 -6.938893904e-18 4.163336342e-17 2.064996216 -4.152462509 0.1376664144
1.39 -1.387778781e-17 3.816391647e-17 2.08843533 -4.176473672 0.139229022
1.4 -6.938893904e-18 3.469446952e-17 2.086564365 -4.176141774 0.139104291
1.41 -1.040834086e-17 5.898059818e-17 2.054082334 -4.14402207 0.1369388223
1.42 -6.938893904e-18 5.551115123e-17 1.989497434 -4.079327879 0.1326331623
1.43 -6.938893904e-18 5.551115123e-17 1.899016677 -3.988950027 0.1266011118
1.44 -1.734723476e-17 4.857225733e-17 1.800076661 -3.889278859 0.1200051107
1.45 -1.734723476e-17 5.551115123e-17 1.721397353 -3.808460052 0.1147598235
1.46 -1.734723476e-17 5.551115123e-17 1.696252941 -3.781651274 0.1130835294
1.47 -3.469446952e-18 6.245004514e-17 1.749504643 -3.835584546 0.1166336429
1.48 -2.428612866e-17 5.551115123e-17 1.88548245 -3.972805232 0.12569883
1.49 -6.938893904e-18 6.938893904e-17 2.085801836 -4.175191249 0.1390534557
1.5 -1.040834086e-17 6.245004514e-17 2.318901673 -4.411168936 0.1545934449
1.51 -1.387778781e-17 7.632783294e-17 2.553760522 -4.647174689 0.1702507015
1.52 -1.387778781e-17 6.938893904e-17 2.769129788 -4.862873568 0.1846086526
1.53 -1.387778781e-17 6.938893904e-17 2.955498339 -5.049005527 0.1970332226
1.54 -2.081668171e-17 6.245004514e-17 3.112277421 -5.20430224 0.2074851614
1.55 -1.387778781e-17 6.245004514e-17 3.243724757 -5.335203361 0.2162483171
1.56 -6.938893904e-18 6.938893904e-17 3.355666176 -5.446679303 0.2237110784
1.57 -1.387778781e-17 7.632783294e-17 3.453519328 -5.543219074 0.2302346219
1.58 -1.387778781e-17 6.938893904e-17 3.541282363 -5.630805148 0.2360854909
1.59 -2.081668171e-17 6.938893904e-17 3.621157685 -5.710656581 0.2414105123
1.6 -2.081668171e-17 6.245004514e-17 3.693499268 -5.78312123 0.2462332845
1.61 -2.081668171e-17 6.245004514e-17 3.756880027 -5.8467598 0.2504586684
1.62 -2.775557562e-17 6.245004514e-17 3.808320105 -5.899550035 0.253888007
1.63 -2.775557562e-17 5.551115123e-17 3.84373386 -5.935383868 0.256248924
1.64 -2.775557562e-17 6.245004514e-17 3.858841899 -5.950864663 0.2572561266
1.65 -3.469446952e-17 6.245004514e-17 3.850753991 -5.94294823 0.2567169327
1.66 -4.857225733e-17 6.938893904e-17 3.820191748 -5.914130765 0.2546794499
1.67 -4.857225733e-17 8.326672685e-17 3.773823121 -5.867068103 0.2515882081
1.68 -4.857225733e-17 6.938893904e-17 3.72534924 -5.81751877 0.248356616
1.69 -4.163336342e-17 6.245004514e-17 3.693466557 -5.785555065 0.2462311038
1.7 -4.857225733e-17 6.938893904e-17 3.695864221 -5.786505056 0.2463909481
1.71 -4.857225733e-17 7.632783294e-17 3.741520206 -5.83259235 0.2494346804
1.72 -2.775557562e-17 6.245004514e-17 3.826376961 -5.918581348 0.2550917974
1.73 -3.816391647e-17 6.245004514e-17 3.936244336 -6.030610362 0.2624162891
1.74 -3.469446952e-17 6.938893904e-17 4.055461122 -6.150446136 0.2703640748
1.75 -2.775557562e-17 8.326672685e-17 4.175420239 -6.271257741 0.2783613493
1.76 -4.510281038e-17 8.326672685e-17 4.297139275 -6.39247981 0.2864759517
1.77 -4.510281038e-17 8.326672685e-17 4.426299127 -6.521462219 0.2950866085
1.78 -1.908195824e-17 5.551115123e-17 4.564063732 -6.660925578 0.3042709155
1.79 -4.857225733e-17 6.938893904e-17 4.699329899 -6.797969115 0.3132886599
1.8 -6.245004514e-17 5.551115123e-17 4.806719985 -6.907932479 0.320447999
1.81 -5.551115123e-17 8.326672685e-17 4.85051945 -6.954652193 0.3233679633
1.82 -2.775557562e-17 8.326672685e-17 4.79184519 -6.898759686 0.319456346
1.83 -4.857225733e-17 6.938893904e-17 4.597021743 -6.705968012 0.3064681162
1.84 -4.857225733e-17 6.938893904e-17 4.248122363 -6.357386697 0.2832081575
1.85 -6.938893904e-17 8.326672685e-17 3.757871633 -5.86441146 0.2505247755
1.86 -4.163336342e-17 9.714451465e-17 3.187416969 -5.287178025 0.2124944646
1.87 -6.245004514e-17 1.040834086e-16 2.65561991 -4.746489356 0.1770413273
1.88 -2.081668171e-17 9.714451465e-17 2.317464082 -4.399782996 0.1544976054
1.89 -3.6429193e-17 9.020562075e-17 2.29842701 -4.379315267 0.1532284673
1.9 -2.602085214e-17 8.847089727e-17 2.618083101 -4.706033788 0.1745388734
1.91 -4.857225733e-17 9.020562075e-17 3.173700935 -5.272119325 0.2115800623
1.92 -5.551115123e-17 8.153200337e-17 3.805523245 -5.911754605 0.2537015497
1.93 -3.469446952e-17 7.632783294e-17 4.380160908 -6.490384131 0.2920107272
1.94 -4.857225733e-17 7.979727989e-17 4.828349937 -6.937981674 0.3218899958
1.95 -3.469446952e-17 7.979727989e-17 5.136045863 -7.241477684 0.3424030576
1.96 -4.163336342e-17 7.632783294e-17 5.319334797 -7.422251225 0.3546223198
1.97 -4.857225733e-17 8.326672685e-17 5.403857633 -7.504685372 0.3602571755
1.98 -7.632783294e-17 6.591949209e-17 5.413370976 -7.511812689 0.3608913984
1.99 -4.857225733e-17 7.979727989e-17 5.364836089 -7.462595826 0.3576557393
2 -6.245004514e-17 7.285838599e-17 5.267005938 -7.363806263 0.3511337292
2.01 -8.326672685e-17 6.245004514e-17 5.120697026 -7.218099482 0.3413798017
