t vsx vsy Ekin Epot T 

0 1.387778781e-17 -2.775557562e-17 15 -2.218261719 1
0.01 1.387778781e-17 -4.163336342e-17 15.00205593 -2.234129698 1.000137062
0.02 1.387778781e-17 -2.775557562e-17 15.00809903 -2.240168493 1.000539935
0.03 -1.387778781e-17 -4.163336342e-17 15.01803594 -2.25009948 1.001202396
0.04 -1.387778781e-17 -6.938893904e-17 15.03193976 -2.263995662 1.002129317
0.05 -2.775557562e-17 -2.775557562e-17 15.04990507 -2.281951498 1.003327005
0.06 -2.775557562e-17 -2.775557562e-17 15.07204943 -2.304084406 1.004803295
0.07 -2.775557562e-17 -2.775557562e-17 15.09851513 -2.330536522 1.006567675
0.08 -4.163336342e-17 -2.775557562e-17 15.12947123 -2.361476736 1.008631415
0.09 -4.163336342e-17 -5.551115123e-17 15.16511596 -2.397103055 1.011007731
0.1 -1.387778781e-17 -2.775557562e-17 15.20567937 -2.437645308 1.013711958
0.11 0 -6.938893904e-17 15.25142644 -2.483368217 1.016761763
0.12 0 -4.163336342e-17 15.30266051 -2.534574838 1.020177368
0.13 -1.387778781e-17 -5.551115123e-17 15.359727 -2.59161031 1.0239818
0.14 -1.387778781e-17 -4.163336342e-17 15.42301736 -2.654865811 1.028201158
0.15 -2.775557562e-17 -1.387778781e-17 15.49297297 -2.724782486 1.032864865
0.16 -2.775557562e-17 -1.387778781e-17 15.57008851 -2.801854909 1.038005901
0.17 -2.775557562e-17 1.387778781e-17 15.65491412 -2.88663332 1.043660941
0.18 -1.387778781e-17 -2.775557562e-17 15.74807543 -2.980724336 1.049871695
0.19 -4.163336342e-17 -4.163336342e-17 15.85022825 -3.082824002 1.056681883
0.2 -4.163336342e-17 -4.163336342e-17 15.96204343 -3.194586035 1.064136228
0.21 -2.775557562e-17 -5.551115123e-17 16.08423502 -3.317707823 1.072282335
0.22 -6.938893904e-17 -4.163336342e-17 16.21747017 -3.451895686 1.081164678
0.23 -5.551115123e-17 -4.163336342e-17 16.36225161 -3.597640444 1.090816774
0.24 -5.551115123e-17 -8.326672685e-17 16.51874811 -3.754174382 1.101249874
0.25 -6.938893904e-17 -2.775557562e-17 16.68652082 -3.922070926 1.112434721
0.26 -5.551115123e-17 -8.326672685e-17 16.86407625 -4.101835391 1.12427175
0.27 -6.938893904e-17 -6.938893904e-17 17.04799081 -4.286273641 1.136532721
0.28 -8.326672685e-17 -1.110223025e-16 17.23164509 -4.472802149 1.14877634
0.29 -9.714451465e-17 -6.938893904e-17 17.40327861 -4.646002132 1.160218574
0.3 -8.326672685e-17 -5.551115123e-17 17.54332908 -4.789498186 1.169555272
0.31 -6.938893904e-17 -8.326672685e-17 17.62180705 -4.873483824 1.174787137
0.32 -5.551115123e-17 -9.714451465e-17 17.59822311 -4.856062677 1.173214874
0.33 -5.551115123e-17 -9.714451465e-17 17.43108745 -4.691991186 1.162072497
0.34 -6.938893904e-17 -9.714451465e-17 17.10809164 -4.366982593 1.140539442
0.35 -8.326672685e-17 -6.938893904e-17 16.69815146 -3.9465059 1.113210097
0.36 -9.714451465e-17 -2.775557562e-17 16.37987279 -3.614019797 1.091991519
0.37 -8.326672685e-17 -2.775557562e-17 16.35641876 -3.587316907 1.090427917
0.38 -8.326672685e-17 -1.387778781e-17 16.67376954 -3.918246303 1.111584636
0.39 -6.938893904e-17 -2.775557562e-17 17.15555288 -4.417748173 1.143703525
0.4 -6.938893904e-17 -4.163336342e-17 17.55349129 -4.825701137 1.170232753
0.41 -9.714451465e-17 -2.775557562e-17 17.72304928 -4.994543836 1.181536619
0.42 -9.714451465e-17 -4.163336342e-17 17.6737111 -4.938312037 1.178247406
0.43 -9.714451465e-17 -4.163336342e-17 17.52383094 -4.777434517 1.168255396
0.44 -1.249000903e-16 -4.163336342e-17 17.41138628 -4.660731392 1.160759085
0.45 -1.387778781e-16 -2.775557562e-17 17.4000977 -4.652142956 1.160006513
0.46 -1.45716772e-16 1.387778781e-17 17.45176658 -4.709099049 1.163451106
0.47 -9.714451465e-17 2.775557562e-17 17.4893416 -4.750921451 1.165956107
0.48 -1.040834086e-16 0 17.46617791 -4.729224032 1.16441186
0.49 -1.205632816e-16 -2.775557562e-17 17.3594738 -4.626911437 1.157298253
0.5 -6.418476861e-17 -2.775557562e-17 17.12589673 -4.399318736 1.141726449
0.51 -1.144917494e-16 0 16.73424918 -4.002801963 1.115616612
0.52 -4.857225733e-17 -5.551115123e-17 16.3044724 -3.551035878 1.086964827
0.53 -6.245004514e-17 -5.551115123e-17 16.15999844 -3.384562304 1.077333229
0.54 -6.938893904e-18 -2.775557562e-17 16.5604237 -3.795518275 1.104028247
0.55 1.387778781e-17 -2.775557562e-17 17.38320699 -4.64401508 1.158880466
0.56 2.775557562e-17 -2.775557562e-17 18.25555504 -5.530323353 1.217037003
0.57 1.387778781e-17 -2.775557562e-17 18.90974606 -6.182982851 1.260649738
0.58 1.387778781e-17 -2.775557562e-17 19.28941289 -6.555052513 1.28596086
0.59 4.163336342e-17 -5.551115123e-17 19.45271194 -6.709072832 1.296847462
0.6 0 0 19.47841626 -6.729542623 1.298561084
0.61 6.938893904e-18 -2.775557562e-17 19.42904803 -6.676819259 1.295269869
0.62 4.163336342e-17 0 19.34654897 -6.593227175 1.289769931
0.63 4.163336342e-17 -5.551115123e-17 19.25744281 -6.501838835 1.283829521
0.64 5.551115123e-17 -5.551115123e-17 19.17831338 -6.421911995 1.278554225
0.65 1.110223025e-16 -5.551115123e-17 19.11948497 -6.36358713 1.274632331
0.66 6.245004514e-17 -8.326672685e-17 19.08695782 -6.331860287 1.272463854
0.67 3.469446952e-17 -5.551115123e-17 19.08331713 -6.329239313 1.272221142
0.68 6.938893904e-18 -8.326672685e-17 19.10823161 -6.354358764 1.273882107
0.69 7.632783294e-17 -8.326672685e-17 19.15903441 -6.405494666 1.27726896
0.7 4.857225733e-17 -1.110223025e-16 19.23145035 -6.478327629 1.28209669
0.71 7.632783294e-17 -8.326672685e-17 19.32011967 -6.56747983 1.288007978
0.72 6.245004514e-17 -1.110223025e-16 19.41884376 -6.666778208 1.294589584
0.73 3.469446952e-17 -1.110223025e-16 19.52028226 -6.768962194 1.30135215
0.74 3.469446952e-17 -1.110223025e-16 19.61497777 -6.864711725 1.307665184
0.75 2.081668171e-17 -1.387778781e-16 19.68971219 -6.940994963 1.31264748
0.76 2.775557562e-17 -1.387778781e-16 19.72542656 -6.979922935 1.315028437
0.77 -1.387778781e-17 -1.665334537e-16 19.69541633 -6.952941225 1.313027755
0.78 0 -1.665334537e-16 19.56560265 -6.825747894 1.30437351
0.79 0 -1.665334537e-16 19.29994296 -6.563455312 1.286662864
0.8 2.775557562e-17 -1.665334537e-16 18.87379794 -6.138200511 1.258253196
0.81 1.387778781e-17 -1.942890293e-16 18.2921082 -5.556095325 1.21947388
0.82 0 -1.665334537e-16 17.59957152 -4.860407116 1.173304768
0.83 4.163336342e-17 -1.665334537e-16 16.87947627 -4.136130797 1.125298418
0.84 4.163336342e-17 -2.220446049e-16 16.27520754 -3.51839747 1.085013836
0.85 5.551115123e-17 -2.220446049e-16 16.02652284 -3.25278081 1.068434856
0.86 4.163336342e-17 -1.665334537e-16 16.35793901 -3.586664378 1.090529267
0.87 5.551115123e-17 -1.665334537e-16 17.21460262 -4.467624516 1.147640175
0.88 0 -1.665334537e-16 18.2480498 -5.520899199 1.216536653
0.89 4.163336342e-17 -1.665334537e-16 19.12358293 -6.398640586 1.274905528
0.9 4.163336342e-17 -1.665334537e-16 19.71439963 -6.98199542 1.314293309
0.91 4.163336342e-17 -1.387778781e-16 20.05113607 -7.309687883 1.336742405
0.92 5.551115123e-17 -1.387778781e-16 20.21473816 -7.466951754 1.34764921
0.93 4.163336342e-17 -1.665334537e-16 20.27885675 -7.528827232 1.351923783
0.94 5.551115123e-17 -1.110223025e-16 20.29515141 -7.542581342 1.353010094
0.95 4.163336342e-17 -1.387778781e-16 20.29575841 -7.541743582 1.353050561
0.96 6.938893904e-17 -1.665334537e-16 20.29920318 -7.544442155 1.353280212
0.97 9.714451465e-17 -1.387778781e-16 20.31515257 -7.561064141 1.354343505
0.98 9.714451465e-17 -1.665334537e-16 20.34751806 -7.593430492 1.356501204
0.99 4.163336342e-17 -1.665334537e-16 20.39626171 -7.642426784 1.359750781
1 8.326672685e-17 -1.942890293e-16 20.45815139 -7.70579387 1.363876759
