t vsx vsy Ekin Epot T 

0 -8.67361738e-19 5.204170428e-18 0.15 -2.218261719 0.01
0.01 1.734723476e-18 1.734723476e-18 0.15 -2.231978539 0.01
0.02 -8.67361738e-19 1.040834086e-17 0.15 -2.232064908 0.01
0.03 2.602085214e-18 1.214306433e-17 0.15 -2.232189405 0.01
0.04 0 1.387778781e-17 0.15 -2.232352085 0.01
0.05 -1.734723476e-18 8.67361738e-18 0.15 -2.232553009 0.01
0.06 8.67361738e-19 1.214306433e-17 0.15 -2.232792253 0.01
0.07 0 1.214306433e-17 0.15 -2.233069898 0.01
0.08 -2.602085214e-18 1.387778781e-17 0.15 -2.233386038 0.01
0.09 -2.602085214e-18 1.387778781e-17 0.15 -2.233740775 0.01
0.1 -8.67361738e-19 1.734723476e-17 0.15 -2.234134221 0.01
0.11 -5.204170428e-18 2.081668171e-17 0.15 -2.234566501 0.01
0.12 -5.204170428e-18 1.734723476e-17 0.15 -2.235037745 0.01
0.13 -6.071532166e-18 1.561251128e-17 0.15 -2.235548097 0.01
0.14 -7.806255642e-18 1.387778781e-17 0.15 -2.236097708 0.01
0.15 -6.071532166e-18 1.561251128e-17 0.15 -2.236686741 0.01
0.16 0 2.081668171e-17 0.15 -2.237315369 0.01
0.17 -1.734723476e-18 1.387778781e-17 0.15 -2.237983775 0.01
0.18 -2.602085214e-18 1.387778781e-17 0.15 -2.23869215 0.01
0.19 -2.602085214e-18 1.387778781e-17 0.15 -2.239440698 0.01
0.2 -3.469446952e-18 1.214306433e-17 0.15 -2.240229632 0.01
0.21 -1.734723476e-18 1.734723476e-17 0.15 -2.241059176 0.01
0.22 -6.938893904e-18 1.561251128e-17 0.15 -2.241929562 0.01
0.23 -7.806255642e-18 2.255140519e-17 0.15 -2.242841034 0.01
0.24 -3.469446952e-18 1.734723476e-17 0.15 -2.243793848 0.01
0.25 -5.204170428e-18 2.081668171e-17 0.15 -2.244788267 0.01
0.26 -3.469446952e-18 2.602085214e-17 0.15 -2.245824566 0.01
0.27 -2.602085214e-18 2.775557562e-17 0.15 -2.246903031 0.01
0.28 -3.469446952e-18 2.775557562e-17 0.15 -2.248023958 0.01
0.29 -1.734723476e-18 3.122502257e-17 0.15 -2.249187653 0.01
0.3 -8.67361738e-19 3.122502257e-17 0.15 -2.250394433 0.01
0.31 -5.204170428e-18 2.775557562e-17 0.15 -2.251644626 0.01
0.32 -1.734723476e-18 3.295974604e-17 0.15 -2.25293857 0.01
0.33 -2.602085214e-18 2.949029909e-17 0.15 -2.254276615 0.01
0.34 -8.67361738e-19 2.949029909e-17 0.15 -2.255659119 0.01
0.35 0 3.295974604e-17 0.15 -2.257086454 0.01
0.36 0 3.469446952e-17 0.15 -2.258559002 0.01
0.37 -2.602085214e-18 2.949029909e-17 0.15 -2.260077154 0.01
0.38 -8.67361738e-19 2.081668171e-17 0.15 -2.261641315 0.01
0.39 -8.67361738e-19 2.949029909e-17 0.15 -2.263251898 0.01
0.4 -3.469446952e-18 2.602085214e-17 0.15 -2.264909329 0.01
0.41 -8.67361738e-19 3.122502257e-17 0.15 -2.266614045 0.01
0.42 0 2.602085214e-17 0.15 -2.268366493 0.01
0.43 -8.67361738e-19 3.122502257e-17 0.15 -2.270167134 0.01
0.44 -8.67361738e-19 3.122502257e-17 0.15 -2.272016437 0.01
0.45 -3.469446952e-18 3.122502257e-17 0.15 -2.273914885 0.01
0.46 0 2.775557562e-17 0.15 -2.275862971 0.01
0.47 -3.469446952e-18 2.775557562e-17 0.15 -2.277861199 0.01
0.48 8.67361738e-19 2.949029909e-17 0.15 -2.279910087 0.01
0.49 2.602085214e-18 2.775557562e-17 0.15 -2.282010163 0.01
0.5 8.67361738e-19 3.122502257e-17 0.15 -2.284161967 0.01
0.51 5.204170428e-18 2.775557562e-17 0.15 -2.286366051 0.01
0.52 4.33680869e-18 2.602085214e-17 0.15 -2.288622979 0.01
0.53 6.071532166e-18 2.602085214e-17 0.15 -2.290933328 0.01
0.54 3.469446952e-18 2.255140519e-17 0.15 -2.293297684 0.01
0.55 3.469446952e-18 2.602085214e-17 0.15 -2.29571665 0.01
0.56 4.33680869e-18 2.081668171e-17 0.15 -2.298190837 0.01
0.57 2.602085214e-18 1.908195824e-17 0.15 -2.300720871 0.01
0.58 3.469446952e-18 1.908195824e-17 0.15 -2.304283787 0.01
0.59 4.33680869e-18 1.908195824e-17 0.15 -2.306927538 0.01
0.6 5.204170428e-18 1.561251128e-17 0.15 -2.309629105 0.01
0.61 8.67361738e-18 1.908195824e-17 0.15 -2.312389166 0.01
0.62 6.938893904e-18 1.214306433e-17 0.15 -2.31520841 0.01
0.63 6.071532166e-18 1.734723476e-17 0.15 -2.318087542 0.01
0.64 6.938893904e-18 1.561251128e-17 0.15 -2.321027279 0.01
0.65 6.938893904e-18 1.387778781e-17 0.15 -2.324028352 0.01
0.66 9.540979118e-18 1.387778781e-17 0.15 -2.327091505 0.01
0.67 6.071532166e-18 1.387778781e-17 0.15 -2.330217497 0.01
0.68 7.806255642e-18 1.734723476e-17 0.15 -2.3334071 0.01
0.69 9.540979118e-18 1.908195824e-17 0.15 -2.336661102 0.01
0.7 9.540979118e-18 1.561251128e-17 0.15 -2.339980302 0.01
0.71 1.040834086e-17 8.67361738e-18 0.15 -2.343365518 0.01
0.72 9.540979118e-18 5.204170428e-18 0.15 -2.34681758 0.01
0.73 6.938893904e-18 6.938893904e-18 0.15 -2.350337333 0.01
0.74 6.938893904e-18 5.204170428e-18 0.15 -2.353925639 0.01
0.75 7.806255642e-18 5.204170428e-18 0.15 -2.357583374 0.01
0.76 8.67361738e-18 5.204170428e-18 0.15 -2.361311432 0.01
0.77 1.040834086e-17 6.938893904e-18 0.15 -2.36511072 0.01
0.78 7.806255642e-18 5.204170428e-18 0.15 -2.368982165 0.01
0.79 1.214306433e-17 5.204170428e-18 0.15 -2.372926707 0.01
0.8 1.387778781e-17 6.938893904e-18 0.15 -2.376945307 0.01
0.81 1.127570259e-17 1.734723476e-18 0.15 -2.381038939 0.01
0.82 1.127570259e-17 5.204170428e-18 0.15 -2.385208599 0.01
0.83 9.540979118e-18 6.938893904e-18 0.15 -2.389455297 0.01
0.84 7.806255642e-18 5.204170428e-18 0.15 -2.393780066 0.01
0.85 6.938893904e-18 1.734723476e-18 0.15 -2.398183954 0.01
0.86 7.806255642e-18 3.469446952e-18 0.15 -2.402668031 0.01
0.87 1.040834086e-17 1.734723476e-18 0.15 -2.407233385 0.01
0.88 1.301042607e-17 1.734723476e-18 0.15 -2.411881125 0.01
0.89 9.540979118e-18 0 0.15 -2.416612381 0.01
0.9 9.540979118e-18 -3.469446952e-18 0.15 -2.421428305 0.01
0.91 1.301042607e-17 -5.204170428e-18 0.15 -2.426330069 0.01
0.92 1.040834086e-17 -1.040834086e-17 0.15 -2.431318869 0.01
0.93 1.040834086e-17 -1.040834086e-17 0.15 -2.436395923 0.01
0.94 1.214306433e-17 -1.040834086e-17 0.15 -2.441562474 0.01
0.95 1.040834086e-17 -1.214306433e-17 0.15 -2.44681979 0.01
0.96 1.040834086e-17 -8.67361738e-18 0.15 -2.452169161 0.01
0.97 1.127570259e-17 -1.040834086e-17 0.15 -2.457611906 0.01
0.98 9.540979118e-18 -1.387778781e-17 0.15 -2.463149369 0.01
0.99 9.540979118e-18 -1.214306433e-17 0.15 -2.468782923 0.01
1 1.301042607e-17 -1.214306433e-17 0.15 -2.474513967 0.01
1.01 9.540979118e-18 -1.040834086e-17 0.15 -2.480343932 0.01
1.02 8.67361738e-18 -1.561251128e-17 0.15 -2.486274278 0.01
1.03 7.806255642e-18 -1.561251128e-17 0.15 -2.492306496 0.01
1.04 6.938893904e-18 -1.734723476e-17 0.15 -2.49844211 0.01
1.05 3.469446952e-18 -1.561251128e-17 0.15 -2.504682675 0.01
1.06 0 -1.734723476e-17 0.15 -2.511029784 0.01
1.07 0 -1.734723476e-17 0.15 -2.517485064 0.01
1.08 4.33680869e-18 -1.734723476e-17 0.15 -2.524050179 0.01
1.09 5.204170428e-18 -1.734723476e-17 0.15 -2.530726831 0.01
1.1 5.204170428e-18 -1.908195824e-17 0.15 -2.537516761 0.01
1.11 6.071532166e-18 -1.387778781e-17 0.15 -2.544421753 0.01
1.12 3.469446952e-18 -1.734723476e-17 0.15 -2.551443631 0.01
1.13 1.734723476e-18 -1.734723476e-17 0.15 -2.558584265 0.01
1.14 8.67361738e-19 -1.214306433e-17 0.15 -2.565845569 0.01
1.15 -8.67361738e-19 -1.561251128e-17 0.15 -2.573229505 0.01
1.16 0 -1.734723476e-17 0.15 -2.580738084 0.01
1.17 0 -1.734723476e-17 0.15 -2.588373365 0.01
1.18 0 -2.081668171e-17 0.15 -2.596137464 0.01
1.19 0 -2.255140519e-17 0.15 -2.604032548 0.01
1.2 0 -2.255140519e-17 0.15 -2.61206084 0.01
1.21 -8.67361738e-19 -2.255140519e-17 0.15 -2.620224622 0.01
1.22 1.734723476e-18 -2.255140519e-17 0.15 -2.628526235 0.01
1.23 8.67361738e-19 -2.428612866e-17 0.15 -2.636968085 0.01
1.24 1.734723476e-18 -2.602085214e-17 0.15 -2.645552639 0.01
1.25 -8.67361738e-19 -2.602085214e-17 0.15 -2.654282431 0.01
1.26 -1.734723476e-18 -2.775557562e-17 0.15 -2.663160064 0.01
1.27 0 -2.428612866e-17 0.15 -2.672188212 0.01
1.28 -2.602085214e-18 -2.428612866e-17 0.15 -2.68136962 0.01
1.29 -1.734723476e-18 -2.081668171e-17 0.15 -2.690707109 0.01
1.3 -2.602085214e-18 -1.734723476e-17 0.15 -2.700203577 0.01
1.31 -3.469446952e-18 -1.734723476e-17 0.15 -2.709862 0.01
1.32 -1.734723476e-18 -1.734723476e-17 0.15 -2.719685436 0.01
1.33 -8.67361738e-19 -1.387778781e-17 0.15 -2.729677025 0.01
1.34 -1.734723476e-18 -1.387778781e-17 0.15 -2.739839992 0.01
1.35 -8.67361738e-19 -1.040834086e-17 0.15 -2.750177647 0.01
1.36 -2.602085214e-18 -1.040834086e-17 0.15 -2.760693391 0.01
1.37 -8.67361738e-19 -8.67361738e-18 0.15 -2.771390711 0.01
1.38 -4.33680869e-18 -1.214306433e-17 0.15 -2.782273184 0.01
1.39 -5.204170428e-18 -1.127570259e-17 0.15 -2.794320952 0.01
1.4 -5.204170428e-18 -8.67361738e-18 0.15 -2.805585119 0.01
1.41 -3.469446952e-18 -8.67361738e-18 0.15 -2.81704573 0.01
1.42 -4.33680869e-18 -5.204170428e-18 0.15 -2.828706726 0.01
1.43 -1.734723476e-18 -2.602085214e-18 0.15 -2.840572132 0.01
1.44 -4.33680869e-18 -8.67361738e-18 0.15 -2.852646062 0.01
1.45 -2.602085214e-18 -2.602085214e-18 0.15 -2.864932713 0.01
1.46 -4.33680869e-18 -6.938893904e-18 0.15 -2.877436361 0.01
1.47 -3.469446952e-18 -3.469446952e-18 0.15 -2.890161354 0.01
1.48 -3.469446952e-18 -3.469446952e-18 0.15 -2.903112112 0.01
1.49 -3.469446952e-18 -7.806255642e-18 0.15 -2.916293113 0.01
1.5 -4.33680869e-18 -7.806255642e-18 0.15 -2.929708886 0.01
1.51 -3.469446952e-18 -9.540979118e-18 0.15 -2.943363999 0.01
1.52 -3.469446952e-18 -9.540979118e-18 0.15 -2.957263048 0.01
1.53 -1.734723476e-18 -6.938893904e-18 0.15 -2.971410638 0.01
1.54 0 -1.040834086e-17 0.15 -2.985811365 0.01
1.55 0 -9.540979118e-18 0.15 -3.000469797 0.01
1.56 -8.67361738e-19 -8.67361738e-18 0.15 -3.015390443 0.01
1.57 0 -1.734723476e-18 0.15 -3.030577732 0.01
1.58 -8.67361738e-19 -5.204170428e-18 0.15 -3.046035971 0.01
1.59 -1.734723476e-18 -6.071532166e-18 0.15 -3.061769312 0.01
1.6 -2.602085214e-18 8.67361738e-19 0.15 -3.077781708 0.01
1.61 -4.33680869e-18 -6.071532166e-18 0.15 -3.094076856 0.01
1.62 -3.469446952e-18 -8.67361738e-18 0.15 -3.11065815 0.01
1.63 -2.602085214e-18 -6.071532166e-18 0.15 -3.127528606 0.01
1.64 -2.602085214e-18 -4.33680869e-18 0.15 -3.145670359 0.01
1.65 -1.734723476e-18 -6.071532166e-18 0.15 -3.16313207 0.01
1.66 -8.67361738e-19 -7.806255642e-18 0.15 -3.180889029 0.01
1.67 -8.67361738e-19 -6.938893904e-18 0.15 -3.198941921 0.01
1.68 -1.734723476e-18 -3.469446952e-18 0.15 -3.217290584 0.01
1.69 -1.734723476e-18 -3.469446952e-18 0.15 -3.235933873 0.01
1.7 -2.602085214e-18 -4.33680869e-18 0.15 -3.254869513 0.01
1.71 -2.602085214e-18 -4.33680869e-18 0.15 -3.274093939 0.01
1.72 -1.734723476e-18 -6.938893904e-18 0.15 -3.293602104 0.01
1.73 -8.67361738e-19 -6.938893904e-18 0.15 -3.313387282 0.01
1.74 0 -6.938893904e-18 0.15 -3.333440842 0.01
1.75 8.67361738e-19 -5.204170428e-18 0.15 -3.353752 0.01
1.76 8.67361738e-19 -3.469446952e-18 0.15 -3.374307546 0.01
1.77 1.734723476e-18 2.602085214e-18 0.15 -3.395091552 0.01
1.78 1.734723476e-18 6.071532166e-18 0.15 -3.416085046 0.01
1.79 1.734723476e-18 0 0.15 -3.437265665 0.01
1.8 8.67361738e-19 -8.67361738e-19 0.15 -3.458607278 0.01
1.81 8.67361738e-19 -3.469446952e-18 0.15 -3.480079593 0.01
1.82 8.67361738e-19 -3.469446952e-18 0.15 -3.501647726 0.01
1.83 1.734723476e-18 -5.204170428e-18 0.15 -3.523271774 0.01
1.84 1.734723476e-18 -6.938893904e-18 0.15 -3.544906354 0.01
1.85 2.602085214e-18 -6.938893904e-18 0.15 -3.566500156 0.01
1.86 1.734723476e-18 -1.734723476e-18 0.15 -3.587995501 0.01
1.87 2.602085214e-18 -4.33680869e-18 0.15 -3.609327926 0.01
1.88 1.734723476e-18 -5.204170428e-18 0.15 -3.630425828 0.01
1.89 1.734723476e-18 -7.806255642e-18 0.15 -3.65121019 0.01
1.9 -8.67361738e-19 -1.127570259e-17 0.15 -3.671594443 0.01
1.91 -8.67361738e-19 -6.938893904e-18 0.15 -3.691484504 0.01
1.92 -2.602085214e-18 -5.204170428e-18 0.15 -3.710779091 0.01
1.93 -2.602085214e-18 -4.33680869e-18 0.15 -3.729370381 0.01
1.94 0 -3.469446952e-18 0.15 -3.74714516 0.01
1.95 -8.67361738e-19 -2.602085214e-18 0.15 -3.763986601 0.01
1.96 0 8.67361738e-19 0.15 -3.77977688 0.01
1.97 -8.67361738e-19 4.33680869e-18 0.15 -3.794400858 0.01
1.98 -1.734723476e-18 -5.204170428e-18 0.15 -3.80775113 0.01
1.99 -2.602085214e-18 -3.469446952e-18 0.15 -3.81973476 0.01
2 -1.734723476e-18 -6.938893904e-18 0.15 -3.830282068 0.01
2.01 -8.67361738e-19 -7.806255642e-18 0.15 -3.839357785 0.01
2.02 -8.67361738e-19 -9.540979118e-18 0.15 -3.846974787 0.01
2.03 -1.734723476e-18 -1.301042607e-17 0.15 -3.853210262 0.01
2.04 -8.67361738e-19 -1.387778781e-17 0.15 -3.858223553 0.01
2.05 -3.469446952e-18 -1.214306433e-17 0.15 -3.862273746 0.01
2.06 -4.33680869e-18 -1.387778781e-17 0.15 -3.865733387 0.01
2.07 -3.469446952e-18 -1.561251128e-17 0.15 -3.869092459 0.01
2.08 -6.938893904e-18 -1.214306433e-17 0.15 -3.872944777 0.01
2.09 -5.204170428e-18 -1.387778781e-17 0.15 -3.877948784 0.01
2.1 -6.938893904e-18 -1.214306433e-17 0.15 -3.884758765 0.01
2.11 -8.67361738e-18 -5.204170428e-18 0.15 -3.893932424 0.01
2.12 -5.204170428e-18 -8.67361738e-18 0.15 -3.905834501 0.01
2.13 -5.204170428e-18 -8.67361738e-18 0.15 -3.92056615 0.01
2.14 -5.204170428e-18 -8.67361738e-18 0.15 -3.937946722 0.01
2.15 -5.204170428e-18 -5.204170428e-18 0.15 -3.957556145 0.01
2.16 -5.204170428e-18 -6.938893904e-18 0.15 -3.978822161 0.01
2.17 -3.469446952e-18 -6.938893904e-18 0.15 -4.001122183 0.01
2.18 -3.469446952e-18 -8.67361738e-18 0.15 -4.023871244 0.01
2.19 -6.938893904e-18 -1.040834086e-17 0.15 -4.046580311 0.01
2.2 -5.204170428e-18 -1.214306433e-17 0.15 -4.068883157 0.01
2.21 -5.204170428e-18 -1.387778781e-17 0.15 -4.090538615 0.01
2.22 -8.67361738e-18 -1.214306433e-17 0.15 -4.111417614 0.01
2.23 -8.67361738e-18 -1.040834086e-17 0.15 -4.131483104 0.01
2.24 -6.938893904e-18 -8.67361738e-18 0.15 -4.150768427 0.01
2.25 -6.938893904e-18 -8.67361738e-18 0.15 -4.1693572 0.01
2.26 -8.67361738e-18 -8.67361738e-18 0.15 -4.18736608 0.01
2.27 -6.938893904e-18 -1.040834086e-17 0.15 -4.204930735 0.01
2.28 -6.938893904e-18 -8.67361738e-18 0.15 -4.2221948 0.01
2.29 -3.469446952e-18 -8.67361738e-18 0.15 -4.239301457 0.01
2.3 -3.469446952e-18 -1.040834086e-17 0.15 -4.257363844 0.01
