t vsx vsy Ekin Epot T 

0 1.387778781e-17 -2.775557562e-17 15 -2.218261719 1
0.01 0 -1.387778781e-17 15 -2.234129698 1
0.02 1.387778781e-17 -2.775557562e-17 15 -2.240167946 1
0.03 4.163336342e-17 -2.775557562e-17 15 -2.250095455 1
0.04 0 -4.163336342e-17 15 -2.263980737 1
0.05 1.387778781e-17 -6.938893904e-17 15 -2.281911469 1
0.06 0 -9.714451465e-17 15 -2.303995739 1
0.07 1.387778781e-17 -9.714451465e-17 15 -2.330363457 1
0.08 -2.775557562e-17 -6.938893904e-17 15 -2.361167949 1
0.09 -6.938893904e-17 -6.938893904e-17 15 -2.39658776 1
0.1 -5.551115123e-17 -9.714451465e-17 15 -2.43682866 1
0.11 -5.551115123e-17 -8.326672685e-17 15 -2.482125861 1
0.12 -8.326672685e-17 -1.110223025e-16 15 -2.532746411 1
0.13 -6.938893904e-17 -9.714451465e-17 15 -2.588991679 1
0.14 -8.326672685e-17 -6.938893904e-17 15 -2.65119983 1
0.15 -6.938893904e-17 -6.938893904e-17 15 -2.719748006 1
0.16 -4.163336342e-17 -6.938893904e-17 15 -2.795053841 1
0.17 -6.938893904e-17 -6.938893904e-17 15 -2.877575635 1
0.18 -8.326672685e-17 -8.326672685e-17 15 -2.968806011 1
0.19 -8.326672685e-17 -9.714451465e-17 15 -3.067322674 1
0.2 -4.163336342e-17 -8.326672685e-17 15 -3.174629881 1
0.21 -2.775557562e-17 -1.387778781e-17 15 -3.292258066 1
0.22 -2.775557562e-17 -8.326672685e-17 15 -3.419753775 1
0.23 1.387778781e-17 -6.938893904e-17 15 -3.557462597 1
0.24 2.775557562e-17 -6.938893904e-17 15 -3.704546036 1
0.25 6.938893904e-17 -9.714451465e-17 15 -3.861646226 1
0.26 2.775557562e-17 -1.110223025e-16 15 -4.02770249 1
0.27 2.775557562e-17 -1.110223025e-16 15 -4.202401611 1
0.28 2.775557562e-17 -1.110223025e-16 15 -4.377491044 1
0.29 4.163336342e-17 -1.110223025e-16 15 -4.54942966 1
0.3 0 -1.526556659e-16 15 -4.702105716 1
0.31 2.775557562e-17 -1.249000903e-16 15 -4.820681091 1
0.32 4.163336342e-17 -1.110223025e-16 15 -4.875651977 1
0.33 1.387778781e-17 -1.526556659e-16 15 -4.836248308 1
0.34 1.387778781e-17 -1.526556659e-16 15 -4.670871722 1
0.35 2.775557562e-17 -1.665334537e-16 15 -4.382563338 1
0.36 1.387778781e-17 -1.249000903e-16 15 -4.041695741 1
0.37 2.775557562e-17 -1.665334537e-16 15 -3.803651404 1
0.38 0 -1.387778781e-16 15 -3.831113803 1
0.39 -2.775557562e-17 -1.387778781e-16 15 -4.143495626 1
0.4 -2.775557562e-17 -1.387778781e-16 15 -4.578642193 1
0.41 -5.551115123e-17 -1.665334537e-16 15 -4.933712251 1
0.42 -5.551115123e-17 -1.942890293e-16 15 -5.097354062 1
0.43 -9.714451465e-17 -1.665334537e-16 15 -5.077305402 1
0.44 -9.714451465e-17 -1.804112415e-16 15 -4.968027 1
0.45 -1.110223025e-16 -1.942890293e-16 15 -4.877850023 1
0.46 -9.714451465e-17 -1.942890293e-16 15 -4.872766858 1
0.47 -1.110223025e-16 -1.942890293e-16 15 -4.931665505 1
0.48 -9.714451465e-17 -1.942890293e-16 15 -4.991160973 1
0.49 -1.179611964e-16 -1.942890293e-16 15 -5.008182661 1
0.5 -1.249000903e-16 -2.220446049e-16 15 -4.970848364 1
0.51 -1.214306433e-16 -2.498001805e-16 15 -4.861359555 1
0.52 -1.526556659e-16 -1.942890293e-16 15 -4.628009275 1
0.53 -1.665334537e-16 -2.498001805e-16 15 -4.254013608 1
0.54 -1.387778781e-16 -2.498001805e-16 15 -3.874356892 1
0.55 -1.110223025e-16 -2.220446049e-16 15 -3.787265622 1
0.56 -1.249000903e-16 -2.220446049e-16 15 -4.191496486 1
0.57 -1.318389842e-16 -2.220446049e-16 15 -4.926774795 1
0.58 -1.318389842e-16 -2.498001805e-16 15 -5.664767343 1
0.59 -1.040834086e-16 -1.942890293e-16 15 -6.20830054 1
0.6 -6.245004514e-17 -2.220446049e-16 15 -6.527566634 1
0.61 -8.326672685e-17 -2.220446049e-16 15 -6.669339208 1
0.62 -7.632783294e-17 -2.775557562e-16 15 -6.694318968 1
0.63 -7.632783294e-17 -3.053113318e-16 15 -6.652892242 1
0.64 -6.245004514e-17 -2.775557562e-16 15 -6.576607862 1
0.65 -5.551115123e-17 -3.053113318e-16 15 -6.490141941 1
0.66 -6.245004514e-17 -2.775557562e-16 15 -6.40889151 1
0.67 -1.040834086e-16 -2.775557562e-16 15 -6.346044458 1
0.68 -7.632783294e-17 -2.775557562e-16 15 -6.308650971 1
0.69 -1.040834086e-16 -2.498001805e-16 15 -6.299096625 1
0.7 -1.249000903e-16 -2.498001805e-16 15 -6.31732359 1
0.71 -5.551115123e-17 -2.498001805e-16 15 -6.359673865 1
0.72 -1.249000903e-16 -2.498001805e-16 15 -6.42274599 1
0.73 -1.110223025e-16 -2.498001805e-16 15 -6.50159255 1
0.74 -9.714451465e-17 -2.498001805e-16 15 -6.591457428 1
0.75 -1.040834086e-16 -2.220446049e-16 15 -6.688041462 1
0.76 -1.665334537e-16 -2.220446049e-16 15 -6.787260891 1
0.77 -1.110223025e-16 -2.498001805e-16 15 -6.884554299 1
0.78 -9.020562075e-17 -2.775557562e-16 15 -6.97383634 1
0.79 -6.245004514e-17 -2.775557562e-16 15 -7.046203758 1
0.8 -6.938893904e-17 -3.053113318e-16 15 -7.088582283 1
0.81 -9.020562075e-17 -2.775557562e-16 15 -7.083766979 1
0.82 -1.249000903e-16 -3.053113318e-16 15 -7.007067738 1
0.83 -4.163336342e-17 -2.775557562e-16 15 -6.836142511 1
0.84 -4.163336342e-17 -3.053113318e-16 15 -6.555536115 1
0.85 -5.551115123e-17 -3.330669074e-16 15 -6.175875329 1
0.86 -8.326672685e-17 -3.330669074e-16 15 -5.730566092 1
0.87 -1.110223025e-16 -3.330669074e-16 15 -5.268016688 1
0.88 -6.938893904e-17 -3.330669074e-16 15 -4.815309002 1
0.89 -6.938893904e-17 -3.60822483e-16 15 -4.39894154 1
0.9 -6.938893904e-17 -3.60822483e-16 15 -4.146943622 1
0.91 -5.551115123e-17 -3.053113318e-16 15 -4.289434511 1
0.92 -4.163336342e-17 -3.053113318e-16 15 -4.91145924 1
0.93 -4.163336342e-17 -3.885780586e-16 15 -5.792185944 1
0.94 -5.551115123e-17 -2.775557562e-16 15 -6.618095398 1
0.95 -5.551115123e-17 -3.053113318e-16 15 -7.229123272 1
0.96 -5.551115123e-17 -2.775557562e-16 15 -7.620172944 1
0.97 -2.775557562e-17 -2.498001805e-16 15 -7.845016397 1
0.98 0 -2.91433544e-16 15 -7.963346533 1
0.99 -1.387778781e-17 -2.498001805e-16 15 -8.020970216 1
1 0 -2.498001805e-16 15 -8.048298743 1
1.01 -1.387778781e-17 -3.191891196e-16 15 -8.064686872 1
1.02 0 -2.775557562e-16 15 -8.077099924 1
1.03 2.775557562e-17 -2.91433544e-16 15 -8.091621912 1
1.04 1.387778781e-17 -2.775557562e-16 15 -8.109294872 1
1.05 1.387778781e-17 -3.053113318e-16 15 -8.126301967 1
1.06 0 -3.053113318e-16 15 -8.137650588 1
1.07 1.387778781e-17 -3.191891196e-16 15 -8.136870595 1
1.08 -1.387778781e-17 -3.469446952e-16 15 -8.117868255 1
1.09 -1.387778781e-17 -3.330669074e-16 15 -8.072275902 1
1.1 -1.387778781e-17 -3.191891196e-16 15 -7.997157749 1
1.11 1.387778781e-17 -3.191891196e-16 15 -7.893413425 1
1.12 -1.387778781e-17 -3.191891196e-16 15 -7.768975999 1
1.13 -2.775557562e-17 -3.053113318e-16 15 -7.639720971 1
1.14 -2.775557562e-17 -3.053113318e-16 15 -7.528063909 1
1.15 -5.551115123e-17 -3.053113318e-16 15 -7.452626161 1
1.16 -1.387778781e-17 -3.885780586e-16 15 -7.419025898 1
1.17 -4.163336342e-17 -2.775557562e-16 15 -7.416286516 1
1.18 -2.775557562e-17 -3.053113318e-16 15 -7.410791324 1
1.19 -2.775557562e-17 -3.330669074e-16 15 -7.391512959 1
1.2 -2.775557562e-17 -3.330669074e-16 15 -7.379212523 1
1.21 0 -3.60822483e-16 15 -7.439803636 1
1.22 -4.163336342e-17 -3.60822483e-16 15 -7.640031736 1
