#H 	 m 

-5	-0.99988
-4.999	-0.99988
-4.998	-0.99988
-4.997	-0.99988
-4.996	-0.99988
-4.995	-0.99988
-4.994	-0.99988
-4.993	-0.99988
-4.992	-0.99988
-4.991	-0.99988
-4.99	-0.99988
-4.989	-0.99988
-4.988	-0.99988
-4.987	-0.99988
-4.986	-0.99988
-4.985	-0.99988
-4.984	-0.99988
-4.983	-0.99988
-4.982	-0.99988
-4.981	-0.99988
-4.98	-0.99988
-4.979	-0.99988
-4.978	-0.99988
-4.977	-0.99988
-4.976	-0.99988
-4.975	-0.99988
-4.974	-0.99988
-4.973	-0.99988
-4.972	-0.99988
-4.971	-0.99988
-4.97	-0.99988
-4.969	-0.99988
-4.968	-0.99988
-4.967	-0.99988
-4.966	-0.99988
-4.965	-0.99988
-4.964	-0.99988
-4.963	-0.99988
-4.962	-0.99988
-4.961	-0.99988
-4.96	-0.99988
-4.959	-0.99988
-4.958	-0.99988
-4.957	-0.99988
-4.956	-0.99988
-4.955	-0.99988
-4.954	-0.99988
-4.953	-0.99988
-4.952	-0.99988
-4.951	-0.99988
-4.94999	-0.99988
-4.94899	-0.99988
-4.94799	-0.99988
-4.94699	-0.99988
-4.94599	-0.99988
-4.94499	-0.99988
-4.94399	-0.99988
-4.94299	-0.99988
-4.94199	-0.99988
-4.94099	-0.99988
-4.93999	-0.99986
-4.93899	-0.99986
-4.93799	-0.99986
-4.93699	-0.99986
-4.93599	-0.99986
-4.93499	-0.99986
-4.93399	-0.99986
-4.93299	-0.99986
-4.93199	-0.99986
-4.93099	-0.99984
-4.92999	-0.99984
-4.92899	-0.99984
-4.92799	-0.99984
-4.92699	-0.99984
-4.92599	-0.99984
-4.92499	-0.99984
-4.92399	-0.99984
-4.92299	-0.99984
-4.92199	-0.99984
-4.92099	-0.99984
-4.91999	-0.99984
-4.91899	-0.99984
-4.91799	-0.99984
-4.91699	-0.99984
-4.91599	-0.99984
-4.91499	-0.99984
-4.91399	-0.99984
-4.91299	-0.99984
-4.91199	-0.99984
-4.91099	-0.99984
-4.90999	-0.99984
-4.90899	-0.99984
-4.90799	-0.99984
-4.90699	-0.99984
-4.90599	-0.99984
-4.90499	-0.99984
-4.90399	-0.99984
-4.90299	-0.99984
-4.90199	-0.99984
