# x      phi 

1.1       6.67841
1.2       6.23536
1.3       5.83713
1.4       5.47901
1.5       5.15656
1.6       4.86569
1.7       4.60273
1.8       4.3644
1.9       4.14779
2       3.95037
2.1       3.76991
2.2       3.60447
2.3       3.45238
2.4       3.31217
2.5       3.18257
2.6       3.06248
2.7       2.95091
2.8       2.84703
2.9       2.75009
3       2.65943
3.1       2.57447
3.2       2.49471
3.3       2.41969
3.4       2.34901
3.5       2.2823
3.6       2.21925
3.7       2.15957
3.8       2.10299
3.9       2.04928
4       1.99823
4.1       1.94965
4.2       1.90337
4.3       1.85923
4.4       1.81708
4.5       1.77679
4.6       1.73824
4.7       1.70133
4.8       1.66595
4.9       1.632
5       1.59941
5.1       1.5681
5.2       1.53798
5.3       1.50899
5.4       1.48108
5.5       1.45418
5.6       1.42824
5.7       1.4032
5.8       1.37903
5.9       1.35567
6       1.3331
6.1       1.31126
6.2       1.29012
6.3       1.26966
6.4       1.24983
6.5       1.23061
6.6       1.21197
6.7       1.19389
6.8       1.17634
6.9       1.1593
7       1.14275
7.1       1.12666
7.2       1.11102
7.3       1.0958
7.4       1.081
7.5       1.06659
7.6       1.05256
7.7       1.03889
7.8       1.02558
7.9       1.0126
8       0.999943
