# x      phi 

1.1       1.4352
1.2       1.28874
1.3       1.15886
1.4       1.04409
1.5       0.942873
1.6       0.853687
1.7       0.775091
1.8       0.705758
1.9       0.644499
2       0.590261
2.1       0.542123
2.2       0.499286
2.3       0.461061
2.4       0.426854
2.5       0.396155
2.6       0.368526
2.7       0.34359
2.8       0.321022
2.9       0.300544
3       0.281915
3.1       0.264924
3.2       0.249391
3.3       0.235158
3.4       0.222087
3.5       0.210057
3.6       0.198964
3.7       0.188714
3.8       0.179225
3.9       0.170425
4       0.16225
4.1       0.154642
4.2       0.147552
4.3       0.140934
4.4       0.134747
4.5       0.128955
4.6       0.123525
4.7       0.118428
4.8       0.113639
4.9       0.109131
5       0.104885
5.1       0.100881
5.2       0.0970997
5.3       0.0935261
5.4       0.0901451
5.5       0.0869431
5.6       0.0839079
5.7       0.0810281
5.8       0.0782934
5.9       0.0756942
6       0.0732217
6.1       0.0708678
6.2       0.0686253
6.3       0.0664871
6.4       0.0644469
6.5       0.0624988
6.6       0.0606375
6.7       0.0588578
6.8       0.057155
6.9       0.0555248
7       0.0539632
7.1       0.0524664
7.2       0.0510308
7.3       0.0496532
7.4       0.0483304
7.5       0.0470597
7.6       0.0458383
7.7       0.0446637
7.8       0.0435336
7.9       0.0424458
8       0.0413981
