   (-1.38233,-2.23154)
  (-1.14173,-0.964724)
   (-1.0898,-0.404137)
(-1.07826,1.36888e-15)
    (-1.0898,0.404137)
   (-1.14173,0.964724)
    (-1.38233,2.23154)
 (16.306,-1.65924e-14)

   (-2.85108,-7.02149)
   (-2.01863,-3.57652)
   (-1.80909,-2.26138)
   (-1.72579,-1.52489)
   (-1.68555,-1.02385)
  (-1.66461,-0.636399)
  (-1.65427,-0.306027)
(-1.65114,1.71106e-14)
   (-1.65427,0.306027)
   (-1.66461,0.636399)
    (-1.68555,1.02385)
    (-1.72579,1.52489)
    (-1.80909,2.26138)
    (-2.01863,3.57652)
    (-2.85108,7.02149)
(44.4692,-1.23835e-13)

