# n      a       b       c

0  -0.5  -0.1  2
1  -0.5  -0.1  0.95
2  -0.5  -0.1  0.425
3  -0.5  -0.1  0.1625
4  -0.3  -0.1  0.1625
5  -0.1  0.03125  0.1625
6  -0.034375  0.03125  0.1625
7  -0.034375  0.03125  0.096875
8  -0.034375  0.03125  0.0640625
9  -0.034375  -0.0015625  0.03125
10  -0.0179688  -0.0015625  0.03125
11  -0.0179688  -0.0015625  0.0148437
12  -0.00976563  -0.0015625  0.0148437
13  -0.00976563  -0.0015625  0.00664062
14  -0.00566406  -0.0015625  0.00664062
15  -0.00566406  -0.0015625  0.00253906
16  -0.00361328  -0.0015625  0.00253906
17  -0.0015625  0.000488281  0.00253906
18  -0.000537109  0.000488281  0.00253906
19  -0.000537109  0.000488281  0.00151367
20  -0.000537109  0.000488281  0.00100098
21  -0.000537109  -2.44141e-05  0.000488281
22  -0.000280762  -2.44141e-05  0.000488281
23  -0.000280762  -2.44141e-05  0.000231934
24  -0.000152588  -2.44141e-05  0.000231934
25  -0.000152588  -2.44141e-05  0.00010376
26  -8.8501e-05  -2.44141e-05  0.00010376
27  -8.8501e-05  -2.44141e-05  3.96729e-05
28  -5.64575e-05  -2.44141e-05  3.96729e-05
29  -2.44141e-05  7.62939e-06  3.96729e-05
30  -8.39233e-06  7.62939e-06  3.96729e-05
31  -8.39233e-06  7.62939e-06  2.36511e-05
32  -8.39233e-06  7.62939e-06  1.56403e-05
33  -8.39233e-06  -3.8147e-07  7.62939e-06
34  -4.3869e-06  -3.8147e-07  7.62939e-06
35  -4.3869e-06  -3.8147e-07  3.62396e-06
36  -2.38419e-06  -3.8147e-07  3.62396e-06
37  -2.38419e-06  -3.8147e-07  1.62125e-06
38  -1.38283e-06  -3.8147e-07  1.62125e-06
39  -1.38283e-06  -3.8147e-07  6.19888e-07
40  -8.82149e-07  -3.8147e-07  6.19888e-07
41  -3.8147e-07  1.19209e-07  6.19888e-07
42  -1.3113e-07  1.19209e-07  6.19888e-07
43  -1.3113e-07  1.19209e-07  3.69549e-07
44  -1.3113e-07  1.19209e-07  2.44379e-07
45  -1.3113e-07  -5.96046e-09  1.19209e-07
46  -6.85453e-08  -5.96046e-09  1.19209e-07
47  -6.85453e-08  -5.96046e-09  5.66244e-08
48  -3.72529e-08  -5.96046e-09  5.66244e-08
49  -3.72529e-08  -5.96046e-09  2.5332e-08
50  -2.16067e-08  -5.96046e-09  2.5332e-08
51  -2.16067e-08  -5.96046e-09  9.68575e-09
52  -1.37836e-08  -5.96046e-09  9.68575e-09
53  -1.37836e-08  -5.96046e-09  1.86265e-09
54  -9.87202e-09  -5.96046e-09  1.86265e-09
55  -9.87202e-09  -5.96046e-09  -2.04891e-09
56  -7.91624e-09  -5.96046e-09  -2.04891e-09
57  -7.91624e-09  -5.96046e-09  -4.00469e-09
58  -6.93835e-09  -5.96046e-09  -4.00469e-09
59  -6.93835e-09  -5.96046e-09  -4.98258e-09
60  -6.44941e-09  -5.96046e-09  -4.98258e-09
61  -6.44941e-09  -5.96046e-09  -5.47152e-09
