# n      x1       x2       g1      g2

0  -1  -1  804  400
10000  -0.26959  -0.357239  48.9  85.9835
20000  -0.169625  -0.14741  14.2933  35.2365
30000  -0.134059  -0.0585227  6.37009  15.2989
40000  -0.115967  -0.0198032  3.77441  6.65031
50000  -0.104019  -0.0031575  2.78965  2.79549
60000  -0.0944787  0.00360603  2.39005  1.06404
70000  -0.0859323  0.00593487  2.22172  0.289897
80000  -0.0778109  0.00629645  2.14812  -0.0483827
90000  -0.0698801  0.00581764  2.11367  -0.186881
100000  -0.0620435  0.00501615  2.09516  -0.23335
110000  -0.0542626  0.00413085  2.0828  -0.237285
120000  -0.0465231  0.00327218  2.07245  -0.221557
130000  -0.0388213  0.0024911  2.06238  -0.196802
140000  -0.0311577  0.00181081  2.05186  -0.168001
150000  -0.0235347  0.00124144  2.04061  -0.137512
160000  -0.0159551  0.000786918  2.02852  -0.106471
170000  -0.00842209  0.000448135  2.01558  -0.0754406
180000  -0.000938895  0.000224449  2.00179  -0.0447135
190000  0.00649144  0.000114401  1.9872  -0.0144524
200000  0.013866  0.000116054  1.97184  0.0152422
210000  0.0211819  0.000227164  1.95575  0.0443018
220000  0.0284366  0.000445265  1.93898  0.0726752
230000  0.0356277  0.000767722  1.92158  0.100322
240000  0.0427528  0.00119176  1.9036  0.127207
250000  0.0498099  0.0017145  1.88509  0.153305
260000  0.0567972  0.00233296  1.8661  0.178592
270000  0.0637129  0.00304408  1.84667  0.203051
280000  0.0705555  0.00384475  1.82688  0.226667
290000  0.0773238  0.00473181  1.80675  0.249431
300000  0.0840165  0.00570208  1.78634  0.271338
310000  0.0906328  0.00675237  1.7657  0.292387
320000  0.0971718  0.00787946  1.74487  0.312578
330000  0.103633  0.00908019  1.7239  0.331918
340000  0.110016  0.0103514  1.70282  0.350413
350000  0.11632  0.0116899  1.68168  0.368075
360000  0.122545  0.0130927  1.66052  0.384918
370000  0.128692  0.0145568  1.63937  0.400955
380000  0.134759  0.0160791  1.61825  0.416204
390000  0.140749  0.0176568  1.59721  0.430684
400000  0.14666  0.019287  1.57627  0.444415
410000  0.152493  0.020967  1.55545  0.457418
420000  0.158249  0.0226942  1.53478  0.469714
430000  0.163928  0.0244658  1.51427  0.481327
440000  0.169531  0.0262795  1.49396  0.492279
450000  0.175059  0.0281328  1.47384  0.502594
460000  0.180513  0.0300233  1.45395  0.512295
470000  0.185892  0.0319489  1.43429  0.521406
480000  0.191199  0.0339074  1.41487  0.529949
490000  0.196434  0.0358967  1.39571  0.537949
500000  0.201598  0.0379148  1.37681  0.545428
510000  0.206693  0.0399598  1.35817  0.552407
520000  0.211718  0.04203  1.33982  0.55891
530000  0.216675  0.0441235  1.32174  0.564957
540000  0.221566  0.0462387  1.30394  0.570569
550000  0.226391  0.048374  1.28643  0.575767
560000  0.231151  0.050528  1.26921  0.580569
570000  0.235848  0.0526991  1.25227  0.584995
580000  0.240482  0.0548861  1.23562  0.589063
590000  0.245054  0.0570875  1.21926  0.59279
600000  0.249566  0.0593023  1.20319  0.596193
610000  0.254019  0.0615292  1.1874  0.599289
620000  0.258413  0.063767  1.17189  0.602092
630000  0.262751  0.0660147  1.15667  0.604619
640000  0.267032  0.0682714  1.14172  0.606882
650000  0.271257  0.0705361  1.12704  0.608896
660000  0.275429  0.0728078  1.11264  0.610673
670000  0.279547  0.0750856  1.0985  0.612227
680000  0.283614  0.0773689  1.08463  0.613568
690000  0.287629  0.0796568  1.07101  0.614708
700000  0.291594  0.0819486  1.05765  0.615658
710000  0.295509  0.0842436  1.04454  0.616428
720000  0.299377  0.0865412  1.03168  0.617027
730000  0.303196  0.0888406  1.01906  0.617466
740000  0.306969  0.0911414  1.00668  0.617752
750000  0.310697  0.0934431  0.994526  0.617895
760000  0.314379  0.095745  0.982605  0.617901
770000  0.318018  0.0980466  0.970907  0.617779
780000  0.321614  0.100348  0.959428  0.617536
790000  0.325167  0.102647  0.948165  0.617178
800000  0.328678  0.104946  0.937112  0.616712
810000  0.332149  0.107242  0.926266  0.616144
820000  0.33558  0.109536  0.915621  0.615481
830000  0.338971  0.111828  0.905173  0.614726
840000  0.342324  0.114116  0.894919  0.613887
850000  0.345639  0.116402  0.884853  0.612967
860000  0.348917  0.118683  0.874973  0.611971
870000  0.352158  0.120961  0.865273  0.610904
880000  0.355364  0.123235  0.855749  0.60977
890000  0.358534  0.125504  0.846399  0.608573
900000  0.36167  0.127769  0.837217  0.607317
910000  0.364772  0.130029  0.828201  0.606006
920000  0.367841  0.132284  0.819346  0.604642
930000  0.370877  0.134534  0.810649  0.60323
940000  0.373881  0.136778  0.802106  0.601772
950000  0.376853  0.139017  0.793714  0.60027
960000  0.379795  0.141251  0.78547  0.598729
970000  0.382706  0.143478  0.777369  0.597151
980000  0.385587  0.1457  0.769409  0.595537
990000  0.388439  0.147915  0.761587  0.593891
1000000  0.391261  0.150124  0.7539  0.592214
1010000  0.394056  0.152327  0.746344  0.590509
1020000  0.396822  0.154524  0.738917  0.588778
1030000  0.399561  0.156714  0.731615  0.587022
1040000  0.402273  0.158898  0.724436  0.585244
1050000  0.404959  0.161074  0.717378  0.583445
1060000  0.407618  0.163245  0.710437  0.581627
1070000  0.410252  0.165408  0.70361  0.579791
1080000  0.412861  0.167564  0.696897  0.577939
1090000  0.415445  0.169714  0.690293  0.576072
1100000  0.418004  0.171856  0.683796  0.574192
1110000  0.420539  0.173992  0.677404  0.572299
1120000  0.423051  0.17612  0.671116  0.570395
1130000  0.42554  0.178242  0.664928  0.568481
1140000  0.428005  0.180356  0.658838  0.566559
1150000  0.430449  0.182463  0.652844  0.564628
1160000  0.43287  0.184563  0.646945  0.56269
1170000  0.435269  0.186655  0.641137  0.560747
1180000  0.437647  0.188741  0.63542  0.558798
1190000  0.440003  0.190819  0.629791  0.556844
1200000  0.442339  0.192889  0.624248  0.554888
1210000  0.444654  0.194953  0.61879  0.552928
1220000  0.446949  0.197009  0.613415  0.550966
1230000  0.449225  0.199058  0.60812  0.549002
1240000  0.45148  0.201099  0.602905  0.547037
1250000  0.453717  0.203134  0.597768  0.545072
1260000  0.455934  0.20516  0.592707  0.543107
1270000  0.458133  0.20718  0.58772  0.541143
1280000  0.460313  0.209192  0.582806  0.53918
1290000  0.462475  0.211197  0.577964  0.537219
1300000  0.464619  0.213195  0.573191  0.53526
1310000  0.466746  0.215185  0.568487  0.533303
1320000  0.468855  0.217168  0.563851  0.531349
1330000  0.470947  0.219144  0.55928  0.529399
1340000  0.473022  0.221113  0.554774  0.527452
1350000  0.475081  0.223074  0.550331  0.525509
1360000  0.477122  0.225028  0.54595  0.52357
1370000  0.479148  0.226975  0.54163  0.521636
1380000  0.481158  0.228914  0.53737  0.519706
1390000  0.483152  0.230847  0.533168  0.517782
1400000  0.48513  0.232772  0.529023  0.515863
1410000  0.487094  0.23469  0.524935  0.513949
1420000  0.489042  0.236602  0.520902  0.512042
1430000  0.490975  0.238505  0.516922  0.51014
1440000  0.492893  0.240402  0.512996  0.508245
1450000  0.494797  0.242292  0.509122  0.506355
1460000  0.496686  0.244175  0.505299  0.504473
1470000  0.498562  0.246051  0.501526  0.502597
1480000  0.500423  0.24792  0.497802  0.500728
1490000  0.502271  0.249782  0.494127  0.498865
1500000  0.504105  0.251637  0.490498  0.49701
1510000  0.505925  0.253485  0.486917  0.495162
1520000  0.507733  0.255326  0.483381  0.493322
1530000  0.509527  0.25716  0.479889  0.491489
1540000  0.511308  0.258988  0.476442  0.489663
1550000  0.513077  0.260808  0.473038  0.487845
1560000  0.514833  0.262622  0.469676  0.486034
1570000  0.516576  0.26443  0.466356  0.484232
1580000  0.518307  0.26623  0.463077  0.482437
1590000  0.520026  0.268024  0.459839  0.48065
1600000  0.521733  0.269811  0.456639  0.47887
1610000  0.523429  0.271592  0.453479  0.477099
1620000  0.525112  0.273366  0.450356  0.475336
1630000  0.526784  0.275133  0.447271  0.473581
1640000  0.528445  0.276894  0.444223  0.471834
1650000  0.530094  0.278649  0.441211  0.470095
1660000  0.531732  0.280397  0.438235  0.468364
1670000  0.533359  0.282139  0.435294  0.466642
1680000  0.534975  0.283874  0.432386  0.464928
1690000  0.536581  0.285603  0.429513  0.463221
1700000  0.538175  0.287325  0.426673  0.461523
1710000  0.53976  0.289041  0.423866  0.459834
1720000  0.541333  0.290751  0.421091  0.458152
1730000  0.542897  0.292455  0.418347  0.456479
1740000  0.54445  0.294152  0.415634  0.454814
1750000  0.545994  0.295843  0.412952  0.453157
1760000  0.547527  0.297528  0.4103  0.451509
1770000  0.549051  0.299207  0.407678  0.449868
1780000  0.550565  0.30088  0.405085  0.448236
1790000  0.552069  0.302547  0.40252  0.446612
1800000  0.553564  0.304208  0.399984  0.444996
1810000  0.555049  0.305862  0.397475  0.443389
1820000  0.556525  0.307511  0.394994  0.441789
1830000  0.557992  0.309154  0.392539  0.440198
1840000  0.55945  0.310791  0.390111  0.438615
1850000  0.560899  0.312422  0.387709  0.437039
1860000  0.562338  0.314047  0.385332  0.435472
1870000  0.56377  0.315667  0.382981  0.433913
1880000  0.565192  0.31728  0.380655  0.432362
1890000  0.566606  0.318888  0.378353  0.430819
1900000  0.568011  0.32049  0.376075  0.429284
1910000  0.569408  0.322086  0.373821  0.427757
1920000  0.570796  0.323677  0.37159  0.426238
1930000  0.572176  0.325262  0.369382  0.424726
1940000  0.573548  0.326841  0.367197  0.423223
1950000  0.574912  0.328415  0.365034  0.421727
1960000  0.576268  0.329984  0.362893  0.420239
1970000  0.577616  0.331546  0.360774  0.418759
1980000  0.578956  0.333104  0.358676  0.417286
1990000  0.580288  0.334655  0.356599  0.415821
2000000  0.581613  0.336202  0.354543  0.414364
2010000  0.58293  0.337743  0.352507  0.412914
2020000  0.584239  0.339278  0.350491  0.411472
2030000  0.585541  0.340808  0.348496  0.410038
2040000  0.586836  0.342333  0.346519  0.40861
2050000  0.588123  0.343853  0.344562  0.407191
2060000  0.589403  0.345367  0.342624  0.405778
2070000  0.590676  0.346876  0.340705  0.404373
2080000  0.591941  0.34838  0.338804  0.402976
2090000  0.5932  0.349878  0.336922  0.401585
2100000  0.594452  0.351372  0.335057  0.400202
2110000  0.595697  0.35286  0.33321  0.398826
2120000  0.596934  0.354343  0.331381  0.397457
2130000  0.598166  0.355821  0.329568  0.396096
2140000  0.59939  0.357295  0.327773  0.394741
2150000  0.600608  0.358763  0.325994  0.393393
2160000  0.601819  0.360226  0.324232  0.392053
2170000  0.603023  0.361684  0.322486  0.390719
2180000  0.604221  0.363137  0.320757  0.389392
2190000  0.605413  0.364585  0.319043  0.388073
2200000  0.606599  0.366028  0.317345  0.386759
2210000  0.607778  0.367466  0.315662  0.385453
2220000  0.60895  0.3689  0.313994  0.384154
2230000  0.610117  0.370329  0.312342  0.382861
2240000  0.611278  0.371752  0.310704  0.381575
2250000  0.612432  0.373172  0.309081  0.380295
2260000  0.61358  0.374586  0.307472  0.379022
2270000  0.614723  0.375995  0.305878  0.377756
2280000  0.615859  0.3774  0.304298  0.376496
2290000  0.61699  0.378801  0.302731  0.375242
2300000  0.618115  0.380196  0.301178  0.373995
2310000  0.619234  0.381587  0.299639  0.372755
2320000  0.620347  0.382973  0.298113  0.37152
2330000  0.621455  0.384355  0.296601  0.370292
2340000  0.622557  0.385732  0.295101  0.369071
2350000  0.623654  0.387105  0.293614  0.367855
2360000  0.624745  0.388473  0.29214  0.366646
2370000  0.625831  0.389837  0.290679  0.365442
2380000  0.626911  0.391196  0.28923  0.364245
2390000  0.627985  0.392551  0.287793  0.363054
2400000  0.629055  0.393901  0.286368  0.361869
2410000  0.630119  0.395247  0.284955  0.36069
2420000  0.631178  0.396588  0.283554  0.359516
2430000  0.632232  0.397925  0.282164  0.358349
2440000  0.63328  0.399258  0.280786  0.357188
2450000  0.634324  0.400587  0.279419  0.356032
2460000  0.635362  0.401911  0.278064  0.354882
2470000  0.636396  0.403231  0.27672  0.353738
2480000  0.637424  0.404546  0.275386  0.3526
2490000  0.638447  0.405858  0.274064  0.351467
2500000  0.639466  0.407165  0.272752  0.35034
2510000  0.64048  0.408468  0.27145  0.349218
2520000  0.641488  0.409767  0.270159  0.348102
2530000  0.642492  0.411062  0.268879  0.346992
2540000  0.643492  0.412352  0.267608  0.345887
2550000  0.644486  0.413639  0.266348  0.344788
2560000  0.645476  0.414921  0.265098  0.343693
2570000  0.646461  0.416199  0.263857  0.342605
2580000  0.647442  0.417474  0.262626  0.341521
2590000  0.648418  0.418744  0.261405  0.340443
2600000  0.64939  0.42001  0.260194  0.33937
2610000  0.650357  0.421272  0.258991  0.338303
2620000  0.651319  0.422531  0.257798  0.337241
2630000  0.652277  0.423785  0.256615  0.336183
2640000  0.653231  0.425035  0.25544  0.335131
2650000  0.654181  0.426282  0.254274  0.334084
2660000  0.655126  0.427525  0.253117  0.333042
2670000  0.656067  0.428763  0.251969  0.332005
2680000  0.657003  0.429998  0.25083  0.330974
2690000  0.657935  0.431229  0.249699  0.329947
2700000  0.658863  0.432456  0.248577  0.328925
2710000  0.659787  0.43368  0.247463  0.327907
2720000  0.660707  0.4349  0.246357  0.326895
2730000  0.661623  0.436115  0.24526  0.325888
2740000  0.662535  0.437328  0.24417  0.324885
2750000  0.663442  0.438536  0.243089  0.323887
2760000  0.664346  0.439741  0.242016  0.322894
2770000  0.665245  0.440942  0.24095  0.321906
2780000  0.666141  0.442139  0.239893  0.320922
2790000  0.667033  0.443333  0.238843  0.319943
2800000  0.667921  0.444523  0.237801  0.318969
2810000  0.668804  0.445709  0.236766  0.317999
2820000  0.669685  0.446892  0.235738  0.317033
2830000  0.670561  0.448071  0.234718  0.316073
2840000  0.671433  0.449247  0.233706  0.315116
2850000  0.672302  0.450419  0.2327  0.314164
2860000  0.673167  0.451588  0.231702  0.313217
2870000  0.674028  0.452753  0.230711  0.312274
2880000  0.674886  0.453915  0.229726  0.311335
2890000  0.67574  0.455073  0.228749  0.310401
2900000  0.67659  0.456227  0.227779  0.309471
2910000  0.677437  0.457378  0.226815  0.308545
2920000  0.67828  0.458526  0.225858  0.307624
2930000  0.67912  0.45967  0.224907  0.306707
2940000  0.679956  0.460811  0.223964  0.305794
2950000  0.680789  0.461949  0.223026  0.304885
2960000  0.681618  0.463083  0.222096  0.30398
2970000  0.682443  0.464213  0.221171  0.30308
2980000  0.683266  0.465341  0.220253  0.302183
2990000  0.684084  0.466465  0.219341  0.301291
3000000  0.6849  0.467586  0.218435  0.300402
3010000  0.685712  0.468703  0.217536  0.299518
3020000  0.686521  0.469817  0.216642  0.298638
3030000  0.687326  0.470928  0.215755  0.297761
3040000  0.688128  0.472036  0.214873  0.296889
3050000  0.688927  0.47314  0.213998  0.296021
3060000  0.689722  0.474241  0.213128  0.295156
3070000  0.690515  0.475339  0.212264  0.294295
3080000  0.691304  0.476434  0.211405  0.293438
3090000  0.69209  0.477526  0.210553  0.292585
3100000  0.692873  0.478614  0.209706  0.291736
3110000  0.693652  0.479699  0.208864  0.29089
3120000  0.694429  0.480781  0.208028  0.290049
3130000  0.695202  0.48186  0.207198  0.289211
3140000  0.695973  0.482936  0.206372  0.288376
3150000  0.69674  0.484009  0.205552  0.287546
3160000  0.697504  0.485078  0.204738  0.286719
3170000  0.698265  0.486145  0.203929  0.285895
3180000  0.699024  0.487208  0.203124  0.285075
3190000  0.699779  0.488269  0.202326  0.284259
3200000  0.700531  0.489326  0.201532  0.283447
3210000  0.70128  0.490381  0.200743  0.282638
3220000  0.702027  0.491432  0.199959  0.281832
3230000  0.70277  0.492481  0.19918  0.28103
3240000  0.703511  0.493526  0.198406  0.280231
3250000  0.704248  0.494568  0.197637  0.279436
3260000  0.704983  0.495608  0.196873  0.278644
3270000  0.705715  0.496645  0.196113  0.277856
3280000  0.706444  0.497678  0.195358  0.277071
3290000  0.707171  0.498709  0.194608  0.276289
3300000  0.707894  0.499737  0.193863  0.275511
3310000  0.708615  0.500762  0.193122  0.274736
