# n      x1       x2       g1      g2

0  -1  -1  804  400
1  -0.9997  -0.999851  803.461  399.85
2  -0.999102  -0.999553  802.384  399.552
3  -0.998206  -0.999107  800.774  399.105
4  -0.997015  -0.998514  798.637  398.511
5  -0.995533  -0.997776  795.982  397.772
6  -0.993762  -0.996894  792.819  396.891
7  -0.99171  -0.99587  789.163  395.872
8  -0.98938  -0.994707  785.027  394.716
9  -0.98678  -0.993409  780.429  393.429
10  -0.983917  -0.991977  775.387  392.014
11  -0.980799  -0.990417  769.92  390.477
12  -0.977434  -0.988731  764.05  388.822
13  -0.973831  -0.986923  757.798  387.054
14  -0.969999  -0.984998  751.187  385.179
15  -0.965947  -0.98296  744.239  383.203
16  -0.961686  -0.980813  736.979  381.131
17  -0.957225  -0.978562  729.431  378.968
18  -0.952575  -0.976211  721.618  376.722
19  -0.947746  -0.973766  713.564  374.398
20  -0.942748  -0.97123  705.292  372.001
21  -0.937591  -0.968608  696.825  369.537
22  -0.932286  -0.965905  688.186  367.013
23  -0.926843  -0.963125  679.397  364.433
24  -0.92127  -0.960273  670.479  361.803
25  -0.915579  -0.957354  661.451  359.128
26  -0.909778  -0.95437  652.334  356.413
27  -0.903877  -0.951328  643.146  353.664
28  -0.897884  -0.948229  633.904  350.885
29  -0.891808  -0.94508  624.626  348.08
30  -0.885657  -0.941882  615.325  345.254
31  -0.879439  -0.93864  606.018  342.411
32  -0.873162  -0.935357  596.718  339.554
33  -0.866833  -0.932037  587.437  336.687
34  -0.860458  -0.928683  578.188  333.814
35  -0.854045  -0.925297  568.98  330.938
36  -0.847599  -0.921882  559.825  328.061
37  -0.841127  -0.918442  550.731  325.187
38  -0.834634  -0.914978  541.705  322.318
39  -0.828125  -0.911494  532.757  319.457
40  -0.821605  -0.907991  523.892  316.605
41  -0.815078  -0.904472  515.116  313.765
42  -0.80855  -0.900938  506.436  310.938
43  -0.802024  -0.897391  497.855  308.127
44  -0.795504  -0.893834  489.377  305.332
45  -0.788994  -0.890268  481.007  302.556
46  -0.782496  -0.886694  472.748  299.799
47  -0.776014  -0.883114  464.601  297.062
48  -0.76955  -0.879529  456.57  294.347
49  -0.763108  -0.875941  448.655  291.655
50  -0.75669  -0.872351  440.859  288.986
51  -0.750298  -0.868759  433.183  286.341
52  -0.743933  -0.865167  425.627  283.721
53  -0.737599  -0.861575  418.191  281.125
54  -0.731296  -0.857985  410.876  278.556
55  -0.725026  -0.854397  403.682  276.012
56  -0.718791  -0.850813  396.609  273.495
57  -0.712592  -0.847232  389.655  271.004
58  -0.706429  -0.843655  382.822  268.54
59  -0.700305  -0.840084  376.107  266.102
60  -0.694221  -0.836517  369.509  263.692
61  -0.688176  -0.832957  363.029  261.308
62  -0.682171  -0.829403  356.664  258.952
63  -0.676209  -0.825855  350.414  256.623
64  -0.670288  -0.822315  344.276  254.32
65  -0.664409  -0.818782  338.25  252.044
66  -0.658574  -0.815256  332.335  249.795
67  -0.652782  -0.811739  326.528  247.573
68  -0.647033  -0.808229  320.828  245.376
69  -0.641329  -0.804728  315.233  243.206
70  -0.635668  -0.801236  309.742  241.062
71  -0.630052  -0.797752  304.354  238.943
72  -0.62448  -0.794277  299.066  236.85
73  -0.618952  -0.790811  293.877  234.783
74  -0.613469  -0.787354  288.784  232.74
75  -0.60803  -0.783906  283.787  230.721
76  -0.602636  -0.780467  278.884  228.727
77  -0.597286  -0.777037  274.073  226.758
78  -0.59198  -0.773617  269.352  224.812
79  -0.586718  -0.770206  264.72  222.889
80  -0.581501  -0.766805  260.174  220.99
81  -0.576327  -0.763413  255.714  219.113
82  -0.571196  -0.76003  251.338  217.259
83  -0.566109  -0.756657  247.043  215.427
84  -0.561065  -0.753293  242.829  213.617
85  -0.556064  -0.749939  238.693  211.829
86  -0.551105  -0.746594  234.635  210.062
87  -0.546189  -0.743258  230.653  208.316
88  -0.541316  -0.739931  226.744  206.591
