# iter, bk, r
0 193.242 0.173883
1 1.8414e+09 368.294
2 380.876 0.409205
3 750.408 1.11643
4 0.367851 0.419051
5 0.352693 0.419081
6 0.351872 0.419082
7 0.336033 0.41911
8 0.319535 0.419135
9 0.287921 0.419174
10 0.242113 0.419206
11 0.176038 0.419188
12 0.140584 0.418975
13 0.296261 0.418145
14 0.647207 0.415545
15 1.22576 0.408037
16 2.1177 0.386872
17 3.29217 0.320929
18 15.8136 0.252739
19 3.02667 0.292958
20 2.72289 0.264812
21 1.79291e+06 41.7209
22 2.49385 0.264413
23 2.28288 0.264045
24 0.210678 0.259743
25 0.210842 0.259738
26 2.62258 0.155541
27 1.74352 0.148033
28 0.82963 0.0620056
29 0.199912 0.0327531
30 0.314724 0.000495619
31 0.108789 0.00123598
32 0.000148283 8.42021e-05
33 4.15781e-05 6.65276e-06
34 1.03123e-07 5.33625e-10
